,BS1,BS2,BS3,BS4,BS5
ChrUn.fgenesh.gene.49,0,0,0,0,0
ChrUn.fgenesh.gene.5,0,0,0,0,0
ChrUn.fgenesh.gene.50,0,0,0,0,0
ChrUn.fgenesh.gene.51,0,0,0,0,0
ChrUn.fgenesh.gene.52,0,0,0,0,0
ChrUn.fgenesh.gene.53,0,0,0,0,0
ChrUn.fgenesh.gene.54,0,0,0,0,0
ChrUn.fgenesh.gene.55,0,0,0,0,0
ChrUn.fgenesh.gene.56,0,0,0,0,0
ChrUn.fgenesh.gene.57,0,0,0,0,0
ChrUn.fgenesh.gene.58,0,0,0,0,0
ChrUn.fgenesh.gene.59,0,0,0,0,0
ChrUn.fgenesh.gene.6,0,0,0,0,0
ChrUn.fgenesh.gene.60,0,0,0,0,0
ChrUn.fgenesh.gene.61,0,0,0,0,0
ChrUn.fgenesh.gene.62,0,0,0,0,0
ChrUn.fgenesh.gene.63,0,0,0,0,0
ChrUn.fgenesh.gene.64,0,0,0,0,0
ChrUn.fgenesh.gene.65,0,0,0,0,0
ChrUn.fgenesh.gene.66,0,0,0,0,0
ChrUn.fgenesh.gene.67,0,0,0,0,0
ChrUn.fgenesh.gene.68,0,0,0,0,0
ChrUn.fgenesh.gene.69,0,0,0,0,0
ChrUn.fgenesh.gene.7,0,0,0,0,0
ChrUn.fgenesh.gene.70,0,0,0,0,0
ChrUn.fgenesh.gene.75,0,0,0,0,0
ChrUn.fgenesh.gene.76,0,0,0,0,0
ChrUn.fgenesh.gene.77,0,0,0,0,0
ChrUn.fgenesh.gene.78,0,0,0,0,0
ChrUn.fgenesh.gene.79,0,0,0,0,0
ChrUn.fgenesh.gene.8,0,0,0,0,0
ChrUn.fgenesh.gene.80,0,0,0,0,0
ChrUn.fgenesh.gene.81,0,0,0,0,0
ChrUn.fgenesh.gene.82,0,0,0,0,0
ChrUn.fgenesh.gene.83,0,0,0,0,0
ChrUn.fgenesh.gene.84,0,0,0,0,0
ChrUn.fgenesh.gene.85,0,0,0,0,0
ChrUn.fgenesh.gene.86,0,0,0,0,0
ChrUn.fgenesh.gene.87,0,0,0,0,0
ChrUn.fgenesh.gene.88,0,0,0,0,0
ChrUn.fgenesh.gene.89,0,0,0,0,0
ChrUn.fgenesh.gene.9,0,0,0,0,0
ChrUn.fgenesh.gene.90,0,0,0,0,0
ChrUn.fgenesh.gene.91,0,0,0,0,0
ChrUn.fgenesh.gene.92,0,0,0,0,0
ChrUn.fgenesh.gene.93,0,0,0,0,0
ChrUn.fgenesh.gene.94,0,0,0,0,0
ChrUn.fgenesh.gene.95,0,0,0,0,0
ChrUn.fgenesh.gene.96,0,0,0,0,0
LOC_Os01g01010,97,80,64,24,218
LOC_Os01g01019,0,0,0,0,0
LOC_Os01g01030,0,0,0,0,0
LOC_Os01g01040,103,140,166,344,95
LOC_Os01g01050,29,5,0,0,113
LOC_Os01g01060,126.005,82.001,193.046,164,67
LOC_Os01g01070,23,98,13,121,75
LOC_Os01g01080,79,91,9,0,44
LOC_Os01g01090,0,0,0,0,82.201
LOC_Os01g01100,0,0,0,0,0
LOC_Os01g01110,0,0,0,0,0
LOC_Os01g01115,0,0,0,0,0
LOC_Os01g01120,185.973,269,71,296,186.033
LOC_Os01g01130,8.027,2,95,39,1.967
LOC_Os01g01140,0,0,0,0,0
LOC_Os01g01150,57,290,289,217,187
LOC_Os01g01160,560,756,462,681,503
LOC_Os01g01170,0,0,0,0,0
LOC_Os01g01180,0,0,0,0,0
LOC_Os01g01190,0,0,0,0,0
LOC_Os01g01200,0,0,0,0,0
LOC_Os01g01210,0,0,0,0,0
LOC_Os01g01230,0,0,0,0,0
LOC_Os01g01240,0,0,0,0,0
LOC_Os01g01250,0,0,0,0,0
LOC_Os01g01260,0,0,0,0,0
LOC_Os01g01270,0,0,0,0,0
LOC_Os01g01280,198,384,191,12,352
LOC_Os01g01290,0,0,0,0,0
LOC_Os01g01295,32,168,12,132,85
LOC_Os01g01302,338,411,229,113,295
LOC_Os01g01307,173,128,53,44,149
LOC_Os01g01312,44,0,0,56,34
LOC_Os01g01320,0,0,0,0,0
LOC_Os01g01330,0,0,0,0,0
LOC_Os01g01340,258,851.076,455,248,557
LOC_Os01g01350,0,0,0,0,0
LOC_Os01g01360,1,1,0,0,0
LOC_Os01g01369,17,39,29,1,83
LOC_Os01g01380,3,62,0,0,40.976
LOC_Os01g01390,134,112,74,0,1
LOC_Os01g01400,0,0,0,0,0
LOC_Os01g01410,59,163,57,0,19
LOC_Os01g01420,418.865,376.064,305.182,249.709,187.55
LOC_Os01g01430,0,0,0,0,0
LOC_Os01g01440,0,0,0,0,0
LOC_Os01g01450,1863,3343,1187,3329,2057
LOC_Os01g01460,0,0,0,0,0
LOC_Os01g01470,0,0,0,0,0
LOC_Os01g01484,91,213,16,248,152
LOC_Os01g01500,0,0,0,0,0
LOC_Os01g01510,15,4,23,0,66
LOC_Os01g01520,2,0,0,0,1
LOC_Os01g01530,0,0,0,0,0
LOC_Os01g01540,0,0,0,0,0
LOC_Os01g01550,0,0,0,0,0
LOC_Os01g01560,0,0,0,18,0
LOC_Os01g01570,14,147,48,129,1
LOC_Os01g01580,0,0,0,0,0
LOC_Os01g01590,0,0,0,0,0
LOC_Os01g01600,0,0,0,0,0
LOC_Os01g01610,0,42,8,0,0
LOC_Os01g01620,209,318,187,463,62
LOC_Os01g01640,183,189,86,38,150
LOC_Os01g01650,0,0,0,0,0
LOC_Os01g01660,13,73,43,0,1
LOC_Os01g01670,6,1,85,125,56
LOC_Os01g01680,1,0,1,70,92
LOC_Os01g01689,1,1,40,0,104
LOC_Os01g01700,389,397,258,262,233
LOC_Os01g01710,1253,2040,1238,1233,863
LOC_Os01g01720,6,111,0,18,1
LOC_Os01g01730,0,0,0,0,0
LOC_Os01g01740,0,0,0,0,0
LOC_Os01g01760,0,0,0,0,0
LOC_Os01g01770,0,0,0,0,0
LOC_Os01g01780,0,0,18,0,0
LOC_Os01g01790,711,320,348,279,329
LOC_Os01g01800,80,162,105,311,80
LOC_Os01g01810,0,0,0,0,0
LOC_Os01g01830,51,0,73,0,20
LOC_Os01g01840,0,0,0,195,0
LOC_Os01g01850,0,0,0,0,0
LOC_Os01g01860,0,0,0,0,0
LOC_Os01g01870,75,235,325,14,178
LOC_Os01g01880,0,0,0,0,0
LOC_Os01g01890,3,0,0,0,0
LOC_Os01g01900,0,0,0,0,0
LOC_Os01g01910,0,0,0,0,0
LOC_Os01g01920,1,2,0,77,0
LOC_Os01g01925,0,0,0,0,0
LOC_Os01g01930,0,0,0,0,0
LOC_Os01g01940,0,0,0,0,0
LOC_Os01g01950,0,0,0,0,0
LOC_Os01g01960,222,353,259,228,431
LOC_Os01g01970,55,91,98,1,76
LOC_Os01g01980,0,0,0,0,0
LOC_Os01g01990,0,0,0,0,0
LOC_Os01g02000,0,0,0,0,0
LOC_Os01g02010,0,0,0,0,0
LOC_Os01g02020,37,226,0,2,134
LOC_Os01g02040,1,0,54,35,0
LOC_Os01g02050,13,0,13,6,50
LOC_Os01g02060,0,0,0,0,0
LOC_Os01g02070,0,0,0,0,0
LOC_Os01g02080,32,16,39,36,0
LOC_Os01g02090,121,287,164,76,15
LOC_Os01g02100,1,44,55,85,0
LOC_Os01g02110,0,0,0,0,0
LOC_Os01g02120,0,0,0,0,0
LOC_Os01g02130,0,0,0,0,0
LOC_Os01g02139,46,63,0,43,80
LOC_Os01g02150,434,1082,505,573,881
LOC_Os01g02160,0,0,0,0,0
LOC_Os01g02170,3,70,0,0,0
LOC_Os01g02180,25,76,183,33,39
LOC_Os01g02190,0,0,0,0,0
LOC_Os01g02200,139,695,199,36,262
LOC_Os01g02210,0,0,0,0,0
LOC_Os01g02220,0,0,0,0,0
LOC_Os01g02230,0,0,0,0,0
LOC_Os01g02240,0,0,0,0,0
LOC_Os01g02250,0,0,0,0,0
LOC_Os01g02260,0,0,0,0,0
LOC_Os01g02270,79,0,0,28,17
LOC_Os01g02280,0,0,0,0,0
LOC_Os01g02290,0,0,0,0,0
LOC_Os01g02300,0,0,0,0,0
LOC_Os01g02310,0,0,27,0,0
LOC_Os01g02320,37,1,0,0,0
LOC_Os01g02334,18,14,1,0,0
LOC_Os01g02350,0,69,0,0,11
LOC_Os01g02360,0,0,0,0,0
LOC_Os01g02370,7,0,0,0,0
LOC_Os01g02380,0,0,0,0,0
LOC_Os01g02390,0,83,0,22,0
LOC_Os01g02400,100,23,65,29,4
LOC_Os01g02410,0,0,0,0,0
LOC_Os01g02420,54,0,0,0,0
LOC_Os01g02430,0,0,0,0,0
LOC_Os01g02440,0,0,0,0,0
LOC_Os01g02450,0,0,0,0,0
LOC_Os01g02460,0,0,0,0,0
LOC_Os01g02470,0,0,0,0,0
LOC_Os01g02480,0,0,0,0,0
LOC_Os01g02490,0,0,0,0,0
LOC_Os01g02500,0,0,0,0,0
LOC_Os01g02510,0,0,0,0,0
LOC_Os01g02520,0,0,0,0,0
LOC_Os01g02530,0,0,0,0,0
LOC_Os01g02540,0,0,0,0,0
LOC_Os01g02550,0,0,0,0,0
LOC_Os01g02560,0,0,0,0,0
LOC_Os01g02570,0,0,0,0,0
LOC_Os01g02580,0,0,0,0,0
LOC_Os01g02590,0,0,0,0,15
LOC_Os01g02600,0,0,0,0,0
LOC_Os01g02610,0,0,0,0,0
LOC_Os01g02629,0,0,0,0,0
LOC_Os01g02650,0,0,0,0,0
LOC_Os01g02660,0,0,0,0,0
LOC_Os01g02670,0,0,0,0,0
LOC_Os01g02680,0,0,0,0,0
LOC_Os01g02690,0,0,0,0,0
LOC_Os01g02700,0,0,11,3,6
LOC_Os01g02710,24,113,8,1,0
LOC_Os01g02720,98,151,27,48,88
LOC_Os01g02730,0,0,0,1,0
LOC_Os01g02740,0,0,0,0,0
LOC_Os01g02750,28,0,0,0,0
LOC_Os01g02760,0,0,1,0,0
LOC_Os01g02770,0,0,0,0,0
LOC_Os01g02780,0,0,0,0,0
LOC_Os01g02790,0,0,0,0,0
LOC_Os01g02800,0,0,0,0,0
LOC_Os01g02810,0,0,0,0,0
LOC_Os01g02830,0,0,0,0,0
LOC_Os01g02840,0,0,0,0,0
LOC_Os01g02850,0,0,0,0,0
LOC_Os01g02860,0,0,0,0,0
LOC_Os01g02870,104,99,41,29,28
LOC_Os01g02880,29,72,6,4,20
LOC_Os01g02884,68,152,49,263,253
LOC_Os01g02890,0,0,0,0,0
LOC_Os01g02900,119,267,189,1,1
LOC_Os01g02910,0,0,0,0,0
LOC_Os01g02920,1,0,0,0,0
LOC_Os01g02930,0,0,0,0,0
LOC_Os01g02940,0,0,0,0,0
LOC_Os01g02950,0,0,0,0,0
LOC_Os01g02960,151,321,299,493,182
LOC_Os01g02970,0,0,0,0,0
LOC_Os01g02980,0,0,0,0,0
LOC_Os01g02990,0,0,0,0,0
LOC_Os01g03010,0,0,0,0,0
LOC_Os01g03020,276,247,120,300,309
LOC_Os01g03030,0,86,28,0,88
LOC_Os01g03040,375,1066,679,679,402
LOC_Os01g03050,12,0,0,0,54
LOC_Os01g03060,91,308,53,15,56
LOC_Os01g03070,597,1167,528,723,601
LOC_Os01g03080,0,0,0,0,0
LOC_Os01g03090,146,174,35,9,26
LOC_Os01g03100,69,50,23,18,61
LOC_Os01g03110,43,0,31,2,0
LOC_Os01g03130,0,0,0,0,0
LOC_Os01g03144,310,337,175,317,298
LOC_Os01g03160,69,103,0,0,86
LOC_Os01g03170,0,0,0,0,0
LOC_Os01g03180,143,117,0,120,108
LOC_Os01g03190,0,0,0,0,0
LOC_Os01g03200,0,0,0,0,40
LOC_Os01g03210,0,0,0,0,0
LOC_Os01g03220,0,0,0,0,0
LOC_Os01g03230,0,0,0,0,0
LOC_Os01g03240,0,0,0,0,0
LOC_Os01g03250,0,0,0,0,0
LOC_Os01g03260,0,0,0,0,0
LOC_Os01g03270,0,0,0,0,0
LOC_Os01g03280,0,0,0,0,0
LOC_Os01g03290,0,0,0,0,0
LOC_Os01g03300,0,0,0,0,0
LOC_Os01g03310,143,177,202,2,136
LOC_Os01g03320,0,32,15,0,0
LOC_Os01g03330,0,0,0,1,0
LOC_Os01g03340,19,16,5,31,0
LOC_Os01g03350,0,0,0,0,0
LOC_Os01g03360,0,0,0,0,0
LOC_Os01g03370,0,0,0,0,0
LOC_Os01g03380,0,0,0,0,0
LOC_Os01g03390,58,0,0,66,0
LOC_Os01g03400,0,0,0,0,0
LOC_Os01g03410,2,0,0,0,0
LOC_Os01g03420,0,0,0,0,0
LOC_Os01g03429,0,0,0,0,0
LOC_Os01g03440,0,0,0,0,0
LOC_Os01g03452,0,0,0,0,0
LOC_Os01g03464,0,0,0,0,0
LOC_Os01g03480,0,0,0,0,0
LOC_Os01g03490,0,0,0,0,0
LOC_Os01g03500,22,164,66,0,38
LOC_Os01g03510,87,110,23,0,162
LOC_Os01g03520,72,377,79,1,275
LOC_Os01g03530,0,0,0,0,0
LOC_Os01g03549,327,531,394,195,191
LOC_Os01g03570,363,257,365,162,216
LOC_Os01g03580,0,0,0,0,0
LOC_Os01g03590,0,0,0,0,0
LOC_Os01g03600,0,0,0,0,0
LOC_Os01g03610,0,0,0,0,0
LOC_Os01g03620,0,0,0,0,0
LOC_Os01g03630,0,0,0,0,0
LOC_Os01g03640,0,0,0,0,0
LOC_Os01g03650,30,29,71,112,140
LOC_Os01g03660,0,0,0,0,0
LOC_Os01g03670,0,0,0,0,0
LOC_Os01g03680,0,0,0,0,0
LOC_Os01g03690,0,0,5,0,0
LOC_Os01g03710,0,0,0,0,0
LOC_Os01g03720,0,0,0,0,0
LOC_Os01g03730,0,0,0,0,0
LOC_Os01g03740,0,0,0,0,0
LOC_Os01g03750,37,31,2,0,52
LOC_Os01g03760,281,232,106,265,151
LOC_Os01g03770,0,0,0,0,0
LOC_Os01g03780,0,0,0,0,0
LOC_Os01g03790,0,0,0,0,0
LOC_Os01g03800,0,0,0,0,0
LOC_Os01g03810,0,0,0,34,1
LOC_Os01g03820,8,16,81,31,54
LOC_Os01g03830,0,0,0,0,0
LOC_Os01g03840,0,0,0,0,0
LOC_Os01g03860,0,0,0,0,0
LOC_Os01g03870,0,0,0,113,0
LOC_Os01g03880,0,0,0,0,0
LOC_Os01g03890,0,0,0,0,0
LOC_Os01g03900,0,0,0,0,0
LOC_Os01g03914,162,114,55,0,83
LOC_Os01g03930,0,0,0,0,0
LOC_Os01g03940,145,105,113,131,384
LOC_Os01g03950,37,85,35,0,0
LOC_Os01g03960,0,0,0,0,0
LOC_Os01g03970,0,0,0,0,0
LOC_Os01g03980,26,0,38,0,75
LOC_Os01g03989,0,0,0,0,0
LOC_Os01g04000,0,0,0,0,0
LOC_Os01g04005,0,0,0,0,0
LOC_Os01g04010,0,0,0,0,4
LOC_Os01g04020,1017,1435,858,1481,1002
LOC_Os01g04030,29,0,0,100,0
LOC_Os01g04040,0,0,1,0,0
LOC_Os01g04050,32,39,53,65,1
LOC_Os01g04070,0,0,0,0,0
LOC_Os01g04080,0,0,0,0,0
LOC_Os01g04090,0,0,0,0,0
LOC_Os01g04100,0,0,0,0,0
LOC_Os01g04110,16,59,56,4,53
LOC_Os01g04120,0,0,30,0,0
LOC_Os01g04130,0,0,0,0,0
LOC_Os01g04140,0,0,0,0,0
LOC_Os01g04150,0,0,0,0,0
LOC_Os01g04160,0,0,0,0,0
LOC_Os01g04170,0,0,0,0,0
LOC_Os01g04180,0,0,0,0,0
LOC_Os01g04190,127,102,179,17,16
LOC_Os01g04200,329,1,137,0,53
LOC_Os01g04210,0,0,0,0,0
LOC_Os01g04220,0,0,0,0,0
LOC_Os01g04230,0,0,0,0,0
LOC_Os01g04250,0,0,0,0,0
LOC_Os01g04260,123,131,46,0,0
LOC_Os01g04270,0,0,0,0,0
LOC_Os01g04280,61,0,0,4,0
LOC_Os01g04290,0,0,0,0,0
LOC_Os01g04300,0,0,0,0,0
LOC_Os01g04310,0,0,0,0,0
LOC_Os01g04320,0,0,0,0,0
LOC_Os01g04324,0,0,0,0,0
LOC_Os01g04330,154,225,39,170,37
LOC_Os01g04340,0,0,0,0,0
LOC_Os01g04350,598,1638,659,573,1206
LOC_Os01g04360,0,0,42,0,0
LOC_Os01g04370,0,0,0,0,0
LOC_Os01g04380,0,0,0,1,68
LOC_Os01g04390,26,0,0,0,0
LOC_Os01g04409,37,0,6,0,0
LOC_Os01g04430,0,0,0,0,0
LOC_Os01g04440,0,0,0,0,0
LOC_Os01g04450,0,0,0,0,0
LOC_Os01g04460,0,0,0,0,0
LOC_Os01g04470,0,0,0,0,0
LOC_Os01g04480,0,0,0,0,0
LOC_Os01g04490,0,0,0,0,0
LOC_Os01g04500,0,0,0,0,0
LOC_Os01g04510,0,0,0,0,0
LOC_Os01g04520,0,0,0,0,0
LOC_Os01g04530,0,0,0,0,0
LOC_Os01g04540,197.748,110.525,170.422,43.94,230.077
LOC_Os01g04550,0,0,0,0,0
LOC_Os01g04560,0,0,0,0,0
LOC_Os01g04570,0,0,0,0,0
LOC_Os01g04580,0,0,0,0,0
LOC_Os01g04590,0,0,0,0,0
LOC_Os01g04600,17,21,0,0,0
LOC_Os01g04610,0,0,0,0,0
LOC_Os01g04620,0,0,0,0,29
LOC_Os01g04630,59,128,159,138,77
LOC_Os01g04640,0,0,0,0,60
LOC_Os01g04650,99,87,53,0,43
LOC_Os01g04660,0,0,0,0,0
LOC_Os01g04670,15,1,0,0,0
LOC_Os01g04680,0,0,0,0,0
LOC_Os01g04690,0,0,0,0,0
LOC_Os01g04699,0,0,0,0,0
LOC_Os01g04710,0,0,0,0,0
LOC_Os01g04720,0,0,0,0,0
LOC_Os01g04730,0,23,3,0,2
LOC_Os01g04740,0,0,0,0,0
LOC_Os01g04750,0,0,0,0,0
LOC_Os01g04760,0,0,0,0,0
LOC_Os01g04770,0,0,0,0,0
LOC_Os01g04780,0,0,0,0,0
LOC_Os01g04790,0,0,0,0,0
LOC_Os01g04800,0,0,0,0,0
LOC_Os01g04814,228,214,137,250,233
LOC_Os01g04830,0,0,0,0,0
LOC_Os01g04840,0,0,0,0,0
LOC_Os01g04850,0,0,0,0,0
LOC_Os01g04860,0,74,134,35,0
LOC_Os01g04870,27,0,35,111,46
LOC_Os01g04880,86.364,192.284,48.236,2,0
LOC_Os01g04900,386.636,484.716,154.764,340,213
LOC_Os01g04910,0,0,68,0,1
LOC_Os01g04920,392,562,468,959,510
LOC_Os01g04930,237,162,100,545,79
LOC_Os01g04950,194,391,120,113,203
LOC_Os01g04960,0,0,0,0,0
LOC_Os01g04970,0,0,0,0,0
LOC_Os01g04980,0,0,0,0,0
LOC_Os01g04990,16,39,4,0,75
LOC_Os01g05000,0,0,0,0,0
LOC_Os01g05010,54,0,25,21,0
LOC_Os01g05020,0,0,0,0,0
LOC_Os01g05030,0,0,0,0,0
LOC_Os01g05040,0,0,0,0,0
LOC_Os01g05050,0,0,0,0,0
LOC_Os01g05060,0,0,0,0,96
LOC_Os01g05064,0,0,0,0,0
LOC_Os01g05070,60,21,31,7,1
LOC_Os01g05080,0,0,0,0,0
LOC_Os01g05090,30.301,60,116,105,61
LOC_Os01g05100,0,0,0,0,0
LOC_Os01g05105,0,0,0,0,0
LOC_Os01g05120,0,0,0,0,0
LOC_Os01g05130,4,120,0,93,0
LOC_Os01g05140,0,0,45,0,0
LOC_Os01g05150,62,2,0,189,81
LOC_Os01g05160,0,0,0,0,0
LOC_Os01g05170,0,0,0,0,0
LOC_Os01g05180,0,0,0,0,0
LOC_Os01g05200,0,0,0,0,0
LOC_Os01g05210,0,0,0,0,0
LOC_Os01g05220,0,0,0,0,0
LOC_Os01g05240,0,0,0,0,0
LOC_Os01g05250,0,0,0,0,0
LOC_Os01g05260,0,0,0,0,0
LOC_Os01g05280,0,0,0,0,0
LOC_Os01g05289,0,0,0,0,0
LOC_Os01g05300,0,0,0,0,0
LOC_Os01g05310,0,0,0,0,0
LOC_Os01g05320,0,0,0,0,0
LOC_Os01g05330,0,0,0,0,0
LOC_Os01g05340,0,0,0,0,0
LOC_Os01g05350,0,0,0,0,0
LOC_Os01g05360,0,0,0,0,0
LOC_Os01g05370,0,0,0,0,0
LOC_Os01g05380,0,0,0,0,0
LOC_Os01g05390,0,0,0,0,0
LOC_Os01g05400,0,0,0,0,0
LOC_Os01g05410,0,0,0,0,0
LOC_Os01g05420,422,158,441,298,347
LOC_Os01g05430,27,222,61,1,1
LOC_Os01g05440,0,0,0,0,0
LOC_Os01g05450,0,0,0,0,0
LOC_Os01g05460,0,0,0,0,0
LOC_Os01g05470,0,96,68,63,0
LOC_Os01g05480,0,0,0,0,0
LOC_Os01g05490,1726,3727,1969,2259,1323
LOC_Os01g05500,198,401,74,223,10
LOC_Os01g05510,0,0,0,0,0
