accession,WT_1,WT_2,WT_3
LOC_Os04g46700,378,400,342
LOC_Os07g42590,74,34,39
LOC_Os01g17430,1545,1155,1217
LOC_Os05g12320,65,130,150
LOC_Os01g19130,352,327,601
LOC_Os04g45020,31,33,52
LOC_Os12g38810,26,11,13
LOC_Os01g03410,46,28,33
LOC_Os04g41400,20,19,22
LOC_Os07g42550,0,0,0
LOC_Os09g36720,1,2,0
LOC_Os05g50600,561,465,485
LOC_Os07g47310,5,2,2
LOC_Os07g04520,1,4,3
LOC_Os09g21450,22,45,51
LOC_Os02g29280,9,15,10
LOC_Os11g07090,0,0,1
LOC_Os06g44170,462,191,366
LOC_Os07g44250,0,0,0
LOC_Os11g36050,187,160,196
LOC_Os12g38000,3564,3366,3732
LOC_Os04g32590,230,239,249
LOC_Os02g25630,0,0,0
LOC_Os10g03100,20,3,10
LOC_Os10g39010,976,709,1008
LOC_Os05g40880,0,0,0
LOC_Os07g01904,3681,2666,3177
LOC_Os02g35140,1479,1101,1232
LOC_Os05g09580,3179,1493,2095
LOC_Os06g21530,228,256,263
LOC_Os06g45830,682,517,532
LOC_Os07g29390,972,863,930
LOC_Os06g01200,785,599,763
LOC_Os09g13890,21,36,38
LOC_Os05g04690,0,0,2
LOC_Os07g01720,577,429,542
LOC_Os12g10200,288,257,301
LOC_Os04g16844,126,101,50
LOC_Os10g22380,991,870,799
LOC_Os02g50410,0,0,0
LOC_Os02g03830,40,41,41
LOC_Os08g39530,0,0,1
LOC_Os04g28100,116,62,80
LOC_Os01g42960,4,1,9
LOC_Os10g01070,0,0,0
LOC_Os08g40120,0,0,0
LOC_Os10g20990,0,0,0
LOC_Os01g68330,1211,1623,1389
LOC_Os03g59240,36,42,54
LOC_Os03g11400,0,4,1
LOC_Os08g17610,48,35,49
LOC_Os10g32840,10,8,15
LOC_Os06g39240,8,4,10
LOC_Os07g10960,87,65,78
LOC_Os06g20620,208,144,170
LOC_Os06g04980,7,3,8
LOC_Os09g30411,17,14,30
LOC_Os03g25650,0,0,0
LOC_Os01g58130,2,1,0
LOC_Os05g02640,94,72,85
LOC_Os03g08710,170,109,153
LOC_Os07g28030,9,16,5
LOC_Os10g40620,8,9,16
LOC_Os06g49700,711,480,679
LOC_Os11g10280,3,6,12
LOC_Os10g10180,6548,8940,7447
LOC_Os04g50100,336,350,324
LOC_Os02g04800,211,178,170
LOC_Os12g42220,151,122,179
LOC_Os04g47640,3,0,9
LOC_Os12g06900,0,0,0
LOC_Os02g30280,3,4,1
LOC_Os12g01750,0,0,1
LOC_Os03g14270,0,0,0
LOC_Os05g04330,644,466,655
LOC_Os11g18770,917,743,703
LOC_Os09g39730,6,2,11
LOC_Os03g56300,626,581,617
LOC_Os12g13160,32,19,39
LOC_Os07g25014,116,118,94
LOC_Os01g41800,70,40,45
LOC_Os01g73840,4,7,5
LOC_Os02g50600,35,25,44
LOC_Os08g30090,6,5,5
LOC_Os11g34300,391,360,341
LOC_Os01g50730,45,23,52
LOC_Os02g25240,0,0,2
LOC_Os06g12950,69,55,60
LOC_Os08g40830,1528,1356,1201
LOC_Os01g57900,93,73,76
LOC_Os08g41110,656,656,892
LOC_Os03g03530,71,58,55
LOC_Os07g35020,110,85,157
LOC_Os07g44090,5,1,4
LOC_Os04g42580,620,493,458
LOC_Os04g22700,0,2,0
LOC_Os07g44910,1,1,2
LOC_Os07g36930,1,3,1
LOC_Os05g35540,1676,2038,1959
LOC_Os07g46540,36,37,41
LOC_Os04g29810,1,1,1
LOC_Os02g48360,155,251,196
LOC_Os02g30180,673,579,603
LOC_Os04g15560,0,0,0
LOC_Os05g34110,2554,1807,2350
LOC_Os01g42820,670,599,693
LOC_Os02g24430,8,12,8
LOC_Os04g08600,0,0,0
LOC_Os10g21460,77,67,64
LOC_Os11g35310,23,8,11
LOC_Os08g25890,90,130,111
LOC_Os08g33370,3968,3430,4240
LOC_Os04g08360,0,0,0
LOC_Os06g39050,0,1,3
LOC_Os03g52900,2,5,3
LOC_Os06g32700,0,1,3
LOC_Os07g33670,468,366,337
LOC_Os09g02284,619,536,563
LOC_Os11g01220,234,224,243
LOC_Os02g40410,50,96,95
LOC_Os06g47210,92,95,96
LOC_Os01g47330,3771,4668,4381
LOC_Os12g07830,198,169,167
LOC_Os02g54890,54,120,152
LOC_Os01g53330,522,857,795
LOC_Os04g52260,13123,55864,56884
LOC_Os07g26110,5,1,2
LOC_Os06g35560,250,126,98
LOC_Os11g10250,2,0,1
LOC_Os09g23550,4512,3968,3710
LOC_Os04g35610,50,26,31
LOC_Os06g04910,565,458,492
LOC_Os07g12670,0,0,0
LOC_Os11g40760,114,73,108
LOC_Os05g48600,306,232,310
LOC_Os05g35080,2,0,2
LOC_Os02g05880,937,754,767
LOC_Os05g10810,708,618,700
LOC_Os03g13760,244,181,252
LOC_Os02g17090,0,4,3
LOC_Os08g24770,171,57,180
LOC_Os02g09740,8,17,11
LOC_Os06g39875,30,32,34
LOC_Os07g09610,14,26,36
LOC_Os11g07360,1,0,0
LOC_Os04g33510,105,62,75
LOC_Os02g49230,75,65,90
LOC_Os07g08180,164,108,123
LOC_Os12g36900,413,390,433
LOC_Os06g21390,410,354,385
LOC_Os01g64670,53,53,79
LOC_Os02g13420,0,0,1
LOC_Os05g06170,19,12,17
LOC_Os06g51470,408,513,521
LOC_Os03g25000,0,0,0
LOC_Os01g41760,0,0,1
LOC_Os06g11070,252,293,354
LOC_Os04g35540,35,22,27
LOC_Os08g41820,142,71,100
LOC_Os07g15130,382,286,337
LOC_Os05g41150,93,83,78
LOC_Os03g02580,29,33,45
LOC_Os06g02250,0,0,0
LOC_Os03g25500,1187,896,803
LOC_Os01g34900,2,6,2
LOC_Os08g01650,24,25,32
LOC_Os08g23470,60,54,49
LOC_Os07g45280,458,432,425
LOC_Os01g16020,28,18,21
LOC_Os01g64180,7,6,4
LOC_Os01g43060,139,123,135
LOC_Os06g02480,314,183,209
LOC_Os05g05260,187,135,133
LOC_Os05g46030,633,661,580
LOC_Os01g46620,0,1,0
LOC_Os09g27350,0,0,0
LOC_Os02g53830,67,37,47
LOC_Os11g24430,0,1,0
LOC_Os05g50680,0,0,0
LOC_Os01g72670,170,108,131
LOC_Os12g15170,1,1,2
LOC_Os01g56350,1471,1200,1380
LOC_Os11g16580,985,865,895
LOC_Os05g30020,1,0,0
LOC_Os06g03330,0,0,1
LOC_Os06g29460,517,431,515
LOC_Os07g12790,224,213,221
LOC_Os05g36310,71,51,67
LOC_Os06g11510,0,0,1
LOC_Os07g48280,280,356,592
LOC_Os04g04000,178,182,164
LOC_Os11g09478,4,0,4
LOC_Os03g21370,3875,4262,4334
LOC_Os04g45665,1,2,1
LOC_Os04g15910,3,3,5
LOC_Os10g35940,756,858,754
LOC_Os11g07030,272,251,274
LOC_Os06g12030,84,32,52
LOC_Os01g64660,4103,4810,4827
LOC_Os03g21560,5949,9041,8630
LOC_Os11g10100,3425,2715,3403
LOC_Os06g50860,270,217,226
LOC_Os01g63190,256,330,481
LOC_Os08g09740,7,4,1
LOC_Os06g15050,0,0,0
LOC_Os04g58740,2,0,0
LOC_Os04g37950,536,499,521
LOC_Os07g35870,1476,1386,1428
LOC_Os03g13230,10,15,12
LOC_Os06g41040,6,9,3
LOC_Os05g32200,14,13,14
LOC_Os03g59160,38,26,28
LOC_Os10g05720,9,14,16
LOC_Os04g55670,91,101,128
LOC_Os10g33800,11250,9830,8915
LOC_Os02g48170,131,111,132
LOC_Os11g29290,9,5,22
LOC_Os01g01770,5,7,6
LOC_Os02g27620,153,132,117
ChrUn.fgenesh.mRNA.63,2,5,1
LOC_Os12g35590,307,217,308
LOC_Os04g32350,728,680,726
LOC_Os09g07820,168,182,180
LOC_Os02g10560,0,0,1
LOC_Os02g01540,6,7,9
LOC_Os03g12440,0,1,1
LOC_Os04g53150,18,19,28
LOC_Os01g44110,24,36,28
LOC_Os04g58470,35,46,36
LOC_Os03g61130,3609,2497,3029
LOC_Os02g57270,974,965,980
LOC_Os04g44190,53,39,39
LOC_Os09g21180,301,144,238
LOC_Os01g16670,299,173,246
LOC_Os04g55740,0,0,0
LOC_Os02g54160,1483,1302,1473
LOC_Os06g45910,659,495,598
LOC_Os05g38480,2,2,4
LOC_Os01g74010,845,714,729
LOC_Os07g02180,1,0,1
LOC_Os07g45710,10,8,4
LOC_Os04g38400,0,0,2
LOC_Os02g35970,65,78,34
LOC_Os03g47022,15,20,10
LOC_Os02g02450,1,9,12
LOC_Os09g07730,4,5,1
LOC_Os01g27230,642,452,472
LOC_Os03g64320,130,88,104
LOC_Os03g21700,0,0,0
LOC_Os01g39870,0,2,2
LOC_Os12g39880,6,6,5
LOC_Os05g46620,1372,1635,1515
LOC_Os04g14760,167,119,141
LOC_Os02g48860,26,19,54
LOC_Os05g43950,669,437,525
LOC_Os10g23080,4,3,3
LOC_Os07g04190,20,13,6
LOC_Os07g12650,775,758,799
LOC_Os03g58640,530,406,386
LOC_Os05g51440,5,2,2
LOC_Os08g05790,179,206,167
LOC_Os11g29890,6,0,0
LOC_Os08g33410,0,0,0
LOC_Os03g15350,704,472,616
LOC_Os10g39090,25,16,34
LOC_Os06g44500,2483,1294,1856
LOC_Os02g46390,0,1,0
LOC_Os10g38090,8,7,10
LOC_Os03g51270,478,426,403
LOC_Os03g38950,6950,7107,9078
LOC_Os02g14640,2,0,0
LOC_Os06g06320,603,458,568
LOC_Os06g48460,17,26,18
LOC_Os03g51910,51,43,56
LOC_Os09g34847,931,937,813
LOC_Os07g38550,6,5,6
LOC_Os09g32984,22,18,28
LOC_Os08g04810,71,61,73
LOC_Os01g19740,60888,54835,74091
LOC_Os03g56060,1,5,7
LOC_Os03g08140,212,182,154
LOC_Os02g13130,6464,5531,5996
LOC_Os06g18980,0,0,1
LOC_Os07g45450,0,0,0
LOC_Os06g42070,0,1,0
LOC_Os01g12690,0,0,0
LOC_Os08g10150,5,4,1
LOC_Os02g36150,388,341,417
LOC_Os06g50430,3,1,2
LOC_Os10g03330,0,0,0
LOC_Os08g13530,2,1,3
LOC_Os10g35730,188,97,149
LOC_Os04g03140,2,6,6
LOC_Os05g07670,899,673,766
LOC_Os06g45500,471,437,419
LOC_Os07g48460,63,52,69
LOC_Os09g15930,0,2,1
LOC_Os03g31230,2284,1968,2457
LOC_Os12g40270,2,2,2
LOC_Os12g24810,0,0,1
LOC_Os03g63240,1,0,0
LOC_Os03g42550,11,7,12
LOC_Os03g58830,3,10,5
LOC_Os11g05180,27,43,34
LOC_Os02g29550,4126,3864,3318
LOC_Os02g44920,3,1,3
LOC_Os01g65630,166,237,229
LOC_Os08g15030,306,227,312
LOC_Os03g55810,2,1,3
LOC_Os02g27790,3,4,2
LOC_Os10g39744,3,9,3
LOC_Os04g55480,424,314,312
LOC_Os07g19130,79,42,55
LOC_Os12g42590,0,0,0
LOC_Os01g49900,745,872,858
LOC_Os02g07900,31,22,54
LOC_Os05g43520,801,510,613
LOC_Os12g06840,0,0,0
LOC_Os06g48170,1,0,1
LOC_Os09g39240,62,33,56
LOC_Os03g57320,408,329,472
LOC_Os12g33840,0,0,0
LOC_Os04g25120,83,111,66
LOC_Os06g06400,54,35,36
LOC_Os08g30540,54,42,67
LOC_Os11g37774,37,27,31
LOC_Os05g47640,671,609,640
LOC_Os02g01830,11,4,6
LOC_Os11g26720,123,156,124
LOC_Os03g17634,1558,1594,1683
LOC_Os06g37150,113,96,78
LOC_Os04g39700,1657,1702,1516
LOC_Os05g35430,53,29,65
LOC_Os07g07070,6,15,18
LOC_Os07g44620,829,877,778
LOC_Os10g39230,490,418,546
LOC_Os07g39720,10,5,7
LOC_Os07g26730,0,0,0
LOC_Os11g35710,835,690,797
LOC_Os11g17350,46,85,55
LOC_Os06g07170,0,0,0
LOC_Os01g56330,46,131,234
LOC_Os08g37690,33,36,67
LOC_Os03g07440,1073,1104,1306
LOC_Os06g03160,25,27,35
LOC_Os01g20810,0,0,0
LOC_Os05g25840,5827,5481,5468
LOC_Os04g39050,104,71,73
LOC_Os01g03170,0,2,1
LOC_Os04g11250,0,3,3
LOC_Os06g46475,12,9,15
LOC_Os02g42940,465,348,335
LOC_Os03g50120,191,138,159
LOC_Os03g44200,412,306,312
ChrSy.fgenesh.mRNA.50,191,227,214
LOC_Os06g01810,22,38,24
LOC_Os05g11190,1,3,1
LOC_Os12g18130,97,71,89
LOC_Os01g64120,133,51,36
LOC_Os05g26990,4018,3651,3693
LOC_Os08g01970,0,0,0
LOC_Os03g03920,1044,935,1012
LOC_Os01g17180,652,437,532
LOC_Os03g14205,47,36,60
LOC_Os06g24250,7,11,8
LOC_Os06g13130,0,0,4
LOC_Os12g10550,47,51,42
LOC_Os06g21099,291,271,275
LOC_Os08g06040,637,567,634
LOC_Os03g32570,0,0,0
LOC_Os04g10750,325,314,405
LOC_Os09g31080,90,169,131
LOC_Os02g53120,81,124,134
LOC_Os02g17700,171,180,201
LOC_Os05g33400,1,3,4
LOC_Os03g59050,2361,2312,2351
LOC_Os01g24160,0,1,0
LOC_Os05g31220,54,13,15
LOC_Os03g52300,3,0,1
LOC_Os05g31670,0,0,0
LOC_Os08g01870,42,53,62
LOC_Os07g13590,449,347,339
LOC_Os05g46560,877,689,681
LOC_Os05g04215,0,0,0
LOC_Os03g21970,1,2,0
LOC_Os05g49310,0,0,0
LOC_Os04g30920,7,12,15
LOC_Os08g07020,5,5,7
LOC_Os02g38950,148,90,120
LOC_Os07g42970,6,6,6
LOC_Os07g24800,7,4,4
LOC_Os07g08820,479,382,371
LOC_Os01g68810,1894,1910,1719
LOC_Os01g12270,1422,773,1245
LOC_Os03g29970,1040,1777,1902
LOC_Os07g25690,0,0,0
LOC_Os08g09710,54,43,55
LOC_Os04g24560,0,0,0
LOC_Os05g37610,0,0,0
LOC_Os11g37070,438,359,385
LOC_Os11g05290,0,1,1
LOC_Os05g43790,446,408,431
LOC_Os04g58020,1580,1066,1184
LOC_Os06g51260,6170,6004,7631
LOC_Os03g22890,1783,1361,1467
LOC_Os03g56800,880,1067,1065
LOC_Os08g22630,11,10,16
LOC_Os08g07890,41,31,42
LOC_Os06g10750,600,377,576
LOC_Os01g63970,363,219,410
LOC_Os10g34520,1052,867,973
LOC_Os07g14090,185,149,191
LOC_Os02g27060,1262,914,964
LOC_Os02g52744,1263,1520,1746
LOC_Os05g35620,0,0,1
LOC_Os06g08390,490,480,473
LOC_Os04g57230,97,127,124
LOC_Os09g19229,68,52,47
LOC_Os08g34100,0,0,0
LOC_Os01g47630,1864,1329,1481
LOC_Os06g04230,54,45,106
LOC_Os05g23840,393,267,341
LOC_Os06g39850,0,0,0
LOC_Os06g08350,0,0,0
LOC_Os05g23450,41,32,46
LOC_Os02g03730,222,161,240
LOC_Os06g20380,0,0,0
LOC_Os05g01440,494,491,388
LOC_Os04g36630,124,67,139
LOC_Os03g36760,534,418,454
LOC_Os03g19800,0,0,0
LOC_Os07g06840,272,218,274
LOC_Os04g42870,229,211,173
LOC_Os12g40660,0,0,0
LOC_Os03g14990,1382,1181,1091
LOC_Os06g43690,406,403,391
LOC_Os06g07969,1038,798,941
LOC_Os03g16570,153,134,133
LOC_Os01g29150,26,27,15
LOC_Os09g29710,6,4,10
LOC_Os02g46990,295,287,303
LOC_Os11g02480,124,43,77
LOC_Os03g25640,0,0,3
LOC_Os09g38610,3,0,1
LOC_Os12g36050,2,2,2
LOC_Os02g27150,0,0,1
LOC_Os09g17970,1,0,0
LOC_Os01g05600,6,6,8
LOC_Os11g02510,85,47,106
LOC_Os12g22060,8,15,5
LOC_Os10g09930,29,52,53
LOC_Os05g30410,37,30,27
LOC_Os08g28830,42,35,43
LOC_Os03g30670,0,0,0
LOC_Os09g36290,166,94,132
LOC_Os06g06580,0,0,0
LOC_Os07g48170,1,5,12
LOC_Os06g40630,114,93,125
LOC_Os11g28480,4,2,4
LOC_Os05g20320,0,0,0
LOC_Os02g29950,0,0,0
LOC_Os05g39690,216,224,248
LOC_Os03g59070,98,98,139
LOC_Os04g38750,1526,1789,1781
LOC_Os07g23730,1,0,2
LOC_Os06g20150,77,14,9
LOC_Os08g14920,1,1,0
LOC_Os10g08474,645,509,570
LOC_Os05g10800,0,2,0
LOC_Os01g52910,0,0,0
LOC_Os04g25510,3,0,4
LOC_Os04g26240,29,18,35
LOC_Os09g03620,1453,1313,1237
LOC_Os08g34170,702,502,624
LOC_Os05g12440,1,1,0
LOC_Os01g68179,7,4,18
LOC_Os02g10440,360,269,302
LOC_Os12g05060,15,20,10
LOC_Os02g15420,0,0,0
LOC_Os06g25680,6,5,3
LOC_Os11g38970,0,0,2
LOC_Os11g47000,108,65,95
LOC_Os04g49970,2,2,2
LOC_Os09g02600,14,17,4
LOC_Os05g35690,9,4,5
LOC_Os11g32369,293,340,268
LOC_Os11g43820,308,274,261
LOC_Os01g47410,136,204,190
LOC_Os07g32450,877,591,755
LOC_Os03g55360,343,265,281
LOC_Os07g46470,9,13,24
LOC_Os09g24570,284,199,240
LOC_Os08g08100,4,4,4
LOC_Os03g29410,13,15,14
LOC_Os05g34660,2,5,10
LOC_Os02g48140,0,0,2
LOC_Os07g37260,0,0,0
LOC_Os05g19954,47,38,46
LOC_Os05g44820,0,1,1
LOC_Os04g45580,297,280,327
LOC_Os07g33710,16,6,11
LOC_Os03g10540,303,328,309
LOC_Os04g55970,1,0,0
LOC_Os02g03960,2188,1048,1462
LOC_Os10g35670,181,171,169
LOC_Os05g01560,556,380,372
LOC_Os08g07370,0,2,0
LOC_Os08g04570,0,1,0
LOC_Os07g34330,0,1,0
LOC_Os07g15440,1063,764,916
LOC_Os06g48180,151,166,319
LOC_Os08g43360,965,801,875
LOC_Os01g56940,23,24,15
LOC_Os03g47754,216,220,212
LOC_Os03g16040,33,23,19
LOC_Os03g04195,0,0,0
LOC_Os02g02380,58,62,51
LOC_Os05g07940,787,343,382
LOC_Os01g32750,912,790,901
LOC_Os03g02710,219,176,211
LOC_Os02g48340,532,480,565
LOC_Os12g41830,295,279,303
LOC_Os05g11090,767,820,1001
LOC_Os02g28340,46,44,47
LOC_Os10g18340,8481,8082,7949
LOC_Os09g38920,124,92,106
LOC_Os11g04660,6,0,2
LOC_Os01g71620,1637,1967,1598
LOC_Os06g27990,1,2,0
LOC_Os06g08250,296,333,399
LOC_Os12g06410,14,9,11
LOC_Os07g14100,65,52,62
LOC_Os02g57924,248,194,246
LOC_Os04g34060,20,30,37
LOC_Os03g42720,2,2,0
LOC_Os11g45780,3,0,0
LOC_Os01g62290,218,171,366
LOC_Os07g31960,0,1,1
LOC_Os06g09620,2,1,5
LOC_Os04g34880,0,0,1
LOC_Os01g33530,1,0,1
LOC_Os06g26110,0,3,6
LOC_Os01g52720,169,134,148
LOC_Os07g44840,42,25,40
LOC_Os03g36110,11,7,6
LOC_Os12g25760,1,1,0
LOC_Os04g41040,165,123,156
LOC_Os03g03020,1143,1741,1511
LOC_Os03g53700,624,492,629
LOC_Os04g47120,1926,1686,1534
LOC_Os02g20930,785,669,667
LOC_Os10g41390,55,47,50
LOC_Os04g58734,19,21,12
LOC_Os11g05060,2,0,0
LOC_Os06g34120,30,42,32
LOC_Os05g05840,772,751,688
LOC_Os01g60870,5,3,1
LOC_Os04g33885,58,64,53
LOC_Os01g59870,0,0,1
LOC_Os12g17424,0,0,0
LOC_Os01g66830,78,63,46
LOC_Os02g39340,510,588,638
LOC_Os05g50480,2904,2493,2384
LOC_Os03g51470,3,2,10
LOC_Os10g16690,0,1,0
LOC_Os07g24830,4,1,2
LOC_Os02g16990,5,1,3
LOC_Os03g21650,0,1,3
LOC_Os03g13170,1999,1923,2064
LOC_Os06g21140,923,762,659
LOC_Os07g23930,201,193,189
LOC_Os05g44916,165,95,127
LOC_Os03g37780,16,18,17
LOC_Os07g14620,0,0,0
LOC_Os12g10600,0,0,0
LOC_Os11g33090,176,105,103
LOC_Os05g10780,0,0,0
LOC_Os02g06430,246,252,314
LOC_Os12g25350,1,1,1
LOC_Os04g39880,250,196,145
LOC_Os02g45980,125,110,94
LOC_Os01g60450,10,2,12
LOC_Os02g14130,1991,1739,1870
LOC_Os11g34624,2,1,0
LOC_Os05g48870,929,1068,1109
LOC_Os07g46846,65,48,77
LOC_Os08g45170,4,3,21
LOC_Os07g28430,412,357,444
LOC_Os11g42580,0,0,0
LOC_Os03g05570,7,1,4
LOC_Os01g43490,0,0,1
LOC_Os01g60640,23,20,102
LOC_Os02g07000,65,75,71
LOC_Os04g49960,285,237,301
LOC_Os02g39064,5,4,4
LOC_Os09g26820,168,118,171
LOC_Os08g10670,0,1,1
LOC_Os02g07310,67,63,59
LOC_Os04g35700,4140,4038,4650
LOC_Os12g31830,402,264,280
LOC_Os08g01880,244,238,325
LOC_Os09g32240,1255,1025,1036
LOC_Os03g05440,0,3,6
LOC_Os08g32920,1,0,6
LOC_Os01g69980,1748,1220,1181
LOC_Os05g12474,1854,1876,2022
LOC_Os02g50490,47,25,55
LOC_Os05g05480,1485,1872,1604
LOC_Os03g46390,374,364,344
LOC_Os06g43950,21,30,27
LOC_Os02g04850,1,0,2
LOC_Os02g20950,736,696,847
LOC_Os10g19314,2,6,3
LOC_Os05g34500,68,39,53
LOC_Os04g02980,1,0,0
LOC_Os02g50174,681,404,572
LOC_Os12g01490,19,10,27
LOC_Os02g13960,945,936,1122
LOC_Os10g40570,1001,928,890
LOC_Os04g19630,4,5,1
LOC_Os03g54880,70,60,78
LOC_Os09g05030,72,116,173
LOC_Os06g17950,42,42,38
LOC_Os01g05410,0,0,0
LOC_Os08g43334,12,55,194
LOC_Os06g40650,2193,1350,1676
LOC_Os02g27200,11,10,16
LOC_Os02g36850,78,176,172
LOC_Os02g49600,72,74,62
LOC_Os01g59800,707,450,534
LOC_Os12g44260,2,0,1
LOC_Os03g61530,1,0,0
LOC_Os08g43210,0,1,1
LOC_Os08g17370,90,82,67
LOC_Os04g45950,1,1,3
LOC_Os03g57170,313,203,269
LOC_Os03g18660,0,1,0
LOC_Os07g26710,2,2,0
LOC_Os03g16740,281,238,339
LOC_Os06g22829,257,238,217
LOC_Os04g51340,14,23,21
LOC_Os01g28474,3,1,3
LOC_Os10g01680,1,0,0
LOC_Os05g49100,9,2,9
LOC_Os12g16290,321,318,273
LOC_Os07g28800,46,49,53
LOC_Os06g05320,2,1,0
LOC_Os06g46470,1,0,0
LOC_Os08g33260,1,1,1
LOC_Os01g74580,176,125,163
LOC_Os04g01530,109,70,80
LOC_Os02g14855,0,0,0
LOC_Os09g15500,0,0,0
LOC_Os02g55900,0,1,0
LOC_Os01g63180,23,1,1
LOC_Os10g14040,1,0,0
LOC_Os02g07820,420,366,341
LOC_Os09g37880,0,0,2
LOC_Os12g37590,397,343,439
LOC_Os01g61560,891,734,789
LOC_Os01g46920,1,0,1
LOC_Os12g16760,2,1,3
LOC_Os05g19630,869,890,833
LOC_Os01g68730,0,2,0
LOC_Os10g02814,5,4,3
LOC_Os06g11500,1009,944,871
LOC_Os03g06379,298,218,233
LOC_Os04g36054,1458,1449,1266
LOC_Os08g23440,928,679,803
LOC_Os04g53030,143,216,206
LOC_Os10g36900,0,0,0
LOC_Os01g55890,725,464,598
LOC_Os03g24640,0,1,0
LOC_Os05g03020,279,205,251
LOC_Os02g13030,0,0,0
LOC_Os12g39010,9,5,5
LOC_Os01g49370,19,17,17
LOC_Os11g15700,22,20,36
LOC_Os07g23270,223,119,198
LOC_Os09g06464,1437,858,1079
LOC_Os07g04050,0,1,0
LOC_Os03g03700,139,186,193
LOC_Os02g42530,292,199,241
LOC_Os03g36500,0,0,0
LOC_Os08g03676,9,12,12
LOC_Os09g07830,233,189,191
LOC_Os05g04584,354,193,195
LOC_Os03g04690,103,84,98
LOC_Os07g18200,0,0,0
LOC_Os05g27450,4,0,4
LOC_Os03g56420,2809,3427,2893
LOC_Os03g42230,10,11,14
LOC_Os02g17680,187,222,198
LOC_Os10g03890,322,600,385
LOC_Os01g27700,4,2,3
LOC_Os01g55750,266,170,253
LOC_Os08g26580,0,0,0
LOC_Os05g22940,2637,3758,2670
LOC_Os05g02210,5,8,3
LOC_Os09g25625,20,10,0
LOC_Os01g57942,119,80,86
LOC_Os02g16500,0,0,1
LOC_Os05g27520,86,112,111
LOC_Os12g19530,1576,1769,1612
LOC_Os01g56690,0,0,0
LOC_Os05g20540,0,0,0
LOC_Os01g60020,10,4,10
LOC_Os08g34870,5,8,5
LOC_Os01g05610,865,561,699
LOC_Os12g20350,0,2,1
LOC_Os02g50430,0,0,0
LOC_Os04g53560,0,0,1
LOC_Os06g20500,539,586,572
LOC_Os07g10620,2,3,0
LOC_Os06g33980,30,20,25
LOC_Os03g53480,0,4,2
LOC_Os02g57050,330,339,334
LOC_Os02g37390,1,1,0
LOC_Os03g59650,15,21,19
LOC_Os11g10780,59,45,47
LOC_Os06g43850,2470,2692,2416
LOC_Os09g26890,23,21,24
LOC_Os08g37400,1,1,3
LOC_Os06g48240,0,0,1
LOC_Os09g26000,0,0,0
LOC_Os03g11720,1793,1228,1358
LOC_Os06g40110,57,54,62
LOC_Os01g21620,1,2,6
LOC_Os06g17130,0,0,0
LOC_Os11g29700,199,218,185
LOC_Os02g02490,10,11,8
LOC_Os07g07060,852,938,825
LOC_Os04g39210,544,432,659
LOC_Os03g58764,14,11,9
LOC_Os06g36040,354,171,494
LOC_Os03g63590,1216,994,1068
LOC_Os09g37080,13,4,9
LOC_Os04g14520,0,1,1
LOC_Os06g33320,293,262,277
LOC_Os11g13860,35,25,33
LOC_Os05g14050,0,1,1
LOC_Os04g08800,62,56,65
LOC_Os10g04130,236,178,171
LOC_Os01g07180,0,0,0
LOC_Os08g28470,0,0,0
LOC_Os09g28650,387,256,324
LOC_Os06g38670,14,10,6
LOC_Os01g18880,277,185,222
LOC_Os02g06180,220,187,230
LOC_Os04g28210,598,486,589
LOC_Os01g40094,803,871,1344
LOC_Os12g04290,698,559,547
LOC_Os03g16880,1,0,0
LOC_Os02g01500,287,257,259
LOC_Os08g05880,497,441,481
LOC_Os04g46220,777,429,768
LOC_Os08g32930,1437,1512,2078
LOC_Os10g17630,136,120,165
LOC_Os02g18620,0,2,3
LOC_Os02g04610,878,688,830
LOC_Os06g21690,59,48,59
LOC_Os04g50720,233,181,257
LOC_Os06g06490,54,56,83
LOC_Os04g29970,0,1,0
LOC_Os08g26720,7,11,7
LOC_Os03g03320,46,23,21
LOC_Os04g14370,2,0,0
LOC_Os08g01420,265,255,255
LOC_Os03g27790,0,0,0
LOC_Os09g09480,1051,978,981
LOC_Os05g43690,0,3,0
LOC_Os03g16950,4,0,1
LOC_Os01g65210,34,23,27
LOC_Os11g05770,11,4,5
LOC_Os09g10010,4,1,0
LOC_Os01g50530,0,4,1
LOC_Os11g19460,346,298,253
LOC_Os08g42180,0,0,27
LOC_Os04g14780,0,5,2
LOC_Os01g41010,90,85,99
LOC_Os02g24740,0,1,0
LOC_Os08g39560,34,45,43
LOC_Os06g23290,5332,5161,6854
LOC_Os03g29184,3,1,3
LOC_Os07g25580,1,1,2
LOC_Os03g14860,468,404,368
LOC_Os07g46690,1167,969,1101
LOC_Os03g33012,379,306,309
LOC_Os11g42530,0,2,1
LOC_Os09g18450,0,1,0
LOC_Os01g22990,2380,1555,1692
LOC_Os02g43100,0,2,2
LOC_Os12g43490,0,0,0
LOC_Os12g44370,1087,1254,1477
LOC_Os02g49570,638,837,743
LOC_Os03g62070,2,0,0
LOC_Os01g60410,5674,4565,5289
LOC_Os03g17860,278,203,217
LOC_Os01g42140,132,108,170
LOC_Os05g10590,115,112,121
LOC_Os12g31320,2,0,0
LOC_Os11g23200,5,0,1
LOC_Os07g37030,43774,42366,46288
LOC_Os07g47194,29,19,16
LOC_Os05g16980,0,1,0
LOC_Os01g08150,2,3,0
LOC_Os01g70710,965,606,1362
