accession,WT_1,WT_2,WT_3
LOC_Os10g40806,0,0,0
LOC_Os01g31930,0,0,0
LOC_Os05g12380,99,91,79
LOC_Os03g32526,138,156,148
LOC_Os10g42420,849,710,757
LOC_Os09g35960,643,464,618
LOC_Os07g32420,1521,1131,1304
LOC_Os08g42350,0,1,0
LOC_Os12g18690,0,0,1
LOC_Os12g12090,130,5,14
LOC_Os04g55250,7,0,0
LOC_Os02g53330,1235,1033,1106
LOC_Os04g43670,1,2,1
LOC_Os07g32870,2,2,3
LOC_Os06g04620,286,259,339
LOC_Os05g22960,365,322,263
LOC_Os02g38310,1,0,0
LOC_Os12g05090,214,182,150
LOC_Os10g17489,3,3,6
LOC_Os01g28070,0,0,1
LOC_Os04g56140,1700,1375,1448
LOC_Os07g37920,63,13,101
LOC_Os03g45220,305,303,343
LOC_Os01g67720,1032,1504,1115
LOC_Os10g21620,0,0,1
LOC_Os02g01890,36,20,24
LOC_Os05g30140,315,243,255
LOC_Os12g18729,9952,11191,11514
LOC_Os03g58630,530,339,479
LOC_Os06g42440,0,0,0
LOC_Os07g20220,4,1,9
LOC_Os12g37440,1,0,0
LOC_Os04g40130,250,200,212
LOC_Os07g23470,0,1,0
LOC_Os12g22500,2,2,6
LOC_Os05g06680,83,71,71
LOC_Os02g47030,91,54,84
LOC_Os04g59540,201,213,173
LOC_Os02g12360,874,774,785
LOC_Os03g62270,455,229,250
LOC_Os11g10830,28,27,18
LOC_Os07g10130,210,185,195
LOC_Os02g45270,117,108,139
LOC_Os05g19060,8,4,5
LOC_Os05g01290,1192,1119,1067
LOC_Os12g18560,1,0,2
LOC_Os06g20550,0,0,1
LOC_Os02g02840,36,86,76
LOC_Os10g34230,85,112,63
LOC_Os01g53630,6,7,7
LOC_Os02g40080,792,601,636
LOC_Os03g29614,0,0,0
LOC_Os11g40390,5,3,6
LOC_Os06g15330,3684,2215,3409
LOC_Os11g10610,0,0,0
LOC_Os10g27470,21,12,7
LOC_Os06g17400,2,1,1
LOC_Os04g16812,116,118,94
LOC_Os03g15360,0,0,1
LOC_Os02g22100,9861,8155,6992
LOC_Os06g02130,879,670,792
LOC_Os05g39860,0,0,0
LOC_Os04g34670,129,90,130
LOC_Os08g02640,1172,956,1176
LOC_Os12g07950,639,663,559
LOC_Os03g13570,0,1,1
LOC_Os01g65060,0,0,1
LOC_Os01g24020,36,14,25
LOC_Os02g08330,1,0,3
LOC_Os07g09370,355,484,480
LOC_Os10g32500,17,33,22
LOC_Os04g55840,35,27,33
LOC_Os08g13210,0,0,0
LOC_Os09g22090,59,43,53
LOC_Os05g23140,25,8,17
LOC_Os04g28090,986,752,793
LOC_Os03g05840,1,0,2
LOC_Os05g41070,559,445,517
LOC_Os09g09830,658,606,703
LOC_Os02g04270,455,412,393
LOC_Os01g66200,5,16,17
LOC_Os05g48540,0,0,0
LOC_Os04g47380,81,61,92
LOC_Os10g22410,17,11,6
LOC_Os04g53770,663,737,674
LOC_Os07g29960,11,0,0
LOC_Os04g09550,2,2,4
LOC_Os09g29050,8,5,8
LOC_Os09g30060,7,1,7
LOC_Os01g48920,517,404,450
LOC_Os01g60540,0,0,0
LOC_Os05g28090,4005,3698,3734
LOC_Os07g25160,0,3,0
LOC_Os03g25110,170,138,128
LOC_Os04g51940,485,409,486
LOC_Os06g05650,272,320,274
LOC_Os03g25490,2,0,0
LOC_Os06g29020,625,505,597
LOC_Os06g36270,419,403,553
LOC_Os03g51660,0,0,0
LOC_Os03g38490,467,400,410
LOC_Os06g01950,1115,637,878
LOC_Os06g04530,1584,1433,1390
LOC_Os01g53600,511,439,488
LOC_Os09g36080,1101,724,906
LOC_Os01g71190,526,1107,929
LOC_Os05g39400,1,2,5
LOC_Os04g27800,3,0,0
LOC_Os07g09870,1181,989,1179
LOC_Os01g52790,225,98,155
LOC_Os07g22496,8,5,4
LOC_Os12g05870,0,0,0
LOC_Os07g05370,9,17,9
LOC_Os03g22840,1,0,2
LOC_Os08g42550,210,174,203
LOC_Os12g31050,25,11,24
LOC_Os02g49670,587,542,558
