ala-L_c0,-1.0*ALAATc_M + 1.0*ALAATc_M_reverse_2f903 - 1.0*ALABATc_M + 1.0*ALABATc_M_reverse_d6a73 - 1.0*ALARc_M + 1.0*ALARc_M_reverse_a5864 - 1.0*ALATc_M + 1.0*ALATc_M_reverse_64280 + 1.0*ALAt2m_M - 1.0*ALAt2m_M_reverse_6ed97 + 1.0*ALAtex_M - 1.0*ALAtex_M_reverse_787a2 - 1.0*ALAtx_M + 1.0*ALAtx_M_reverse_96380 - 1.0*AONSc_M + 1.0*AONSc_M_reverse_e4093 - 0.0914*Coleoptile_Biomass_M + 0.0914*Coleoptile_Biomass_M_reverse_b2339 - 0.0183*DM_Phloem_M + 0.0183*DM_Phloem_M_reverse_02f43 + 1.0*GGLUCTc_M - 1.0*GGLUCTc_M_reverse_5c3d7 - 1.0*GGT2c_M + 1.0*GGT2c_M_reverse_ef54d + 1.0*IAAALAHc_M - 1.0*IAAALAHc_M_reverse_0381c - 1.0*IAAALASc_M + 1.0*IAAALASc_M_reverse_bac45 + 1.0*PYDMPATc_M - 1.0*PYDMPATc_M_reverse_0a84a - 1.0*PYDXNSc_M + 1.0*PYDXNSc_M_reverse_5f214 + 1.0*SELCYSLY2_M - 1.0*SELCYSLY2_M_reverse_25cfd - 0.0321*Straw_Biomass_M + 0.0321*Straw_Biomass_M_reverse_753fb - 1.0*UAMASc_M + 1.0*UAMASc_M_reverse_ad498 - 1.0*ala-L_pd + 1.0*ala-L_pd_reverse_61898
arg-L_c0,-1.0*ARDCc_M + 1.0*ARDCc_M_reverse_9b130 - 1.0*ARG2MO_M + 1.0*ARG2MO_M_reverse_7b3cd - 1.0*ARGDIc_M + 1.0*ARGDIc_M_reverse_04b98 - 1.0*ARGNc_M + 1.0*ARGNc_M_reverse_29f5c + 1.0*ARGSL1c_M - 1.0*ARGSL1c_M_reverse_f6bbe - 1.0*ARGTc_M + 1.0*ARGTc_M_reverse_57f84 - 1.0*ARGt2s_M + 1.0*ARGt2s_M_reverse_f66dc + 1.0*ARGtex_M - 1.0*ARGtex_M_reverse_69c2b + 1.0*CITRtm_M - 1.0*CITRtm_M_reverse_db73a - 0.0639*Coleoptile_Biomass_M + 0.0639*Coleoptile_Biomass_M_reverse_b2339 - 0.0958*DM_Phloem_M + 0.0958*DM_Phloem_M_reverse_02f43 - 2.0*NOSc_M + 2.0*NOSc_M_reverse_0babb + 1.0*ORNtm_M - 1.0*ORNtm_M_reverse_72639 - 0.0123*Straw_Biomass_M + 0.0123*Straw_Biomass_M_reverse_753fb - 1.0*arg-L_pd + 1.0*arg-L_pd_reverse_77867
asp-L_c0,-1.0*ADSSc_M + 1.0*ADSSc_M_reverse_281d8 - 1.0*ARGSSc_M + 1.0*ARGSSc_M_reverse_5412a + 1.0*ASNNc_M - 1.0*ASNNc_M_reverse_4df0c - 1.0*ASPALc_M + 1.0*ASPALc_M_reverse_68c01 - 1.0*ASPCLc_M + 1.0*ASPCLc_M_reverse_42e73 - 1.0*ASPCT1c_M + 1.0*ASPCT1c_M_reverse_6be32 + 1.0*ASPGLU2m_M - 1.0*ASPGLU2m_M_reverse_7f061 - 1.0*ASPTAc_M + 1.0*ASPTAc_M_reverse_38c5c - 1.0*ASPTLc_M + 1.0*ASPTLc_M_reverse_13888 + 1.0*ASPt2m_M - 1.0*ASPt2m_M_reverse_683b2 + 1.0*ASPtex_M - 1.0*ASPtex_M_reverse_ee2fd - 1.0*ASPts_M + 1.0*ASPts_M_reverse_bf335 - 1.0*CALANc_M + 1.0*CALANc_M_reverse_eae5a - 0.0985*Coleoptile_Biomass_M + 0.0985*Coleoptile_Biomass_M_reverse_b2339 - 0.121*DM_Phloem_M + 0.121*DM_Phloem_M_reverse_02f43 - 1.0*IAAASPSc_M + 1.0*IAAASPSc_M_reverse_8c317 - 0.0417*Straw_Biomass_M + 0.0417*Straw_Biomass_M_reverse_753fb - 1.0*asp-L_pd + 1.0*asp-L_pd_reverse_541c7
cys-L_c0,-1.0*CALASc_M + 1.0*CALASc_M_reverse_96f66 + 1.0*CYSSc_M - 1.0*CYSSc_M_reverse_77468 - 1.0*CYSTLc_M + 1.0*CYSTLc_M_reverse_d0537 + 1.0*CYSt2m_M - 1.0*CYSt2m_M_reverse_00a20 + 1.0*CYStex_M - 1.0*CYStex_M_reverse_77e07 - 1.0*CYSts_M + 1.0*CYSts_M_reverse_2195a - 1.0*CYStv_M + 1.0*CYStv_M_reverse_8b8f9 - 0.0126*Coleoptile_Biomass_M + 0.0126*Coleoptile_Biomass_M_reverse_b2339 + 1.0*FRCYOc_M - 1.0*FRCYOc_M_reverse_120c8 - 1.0*PPNCL2c_M + 1.0*PPNCL2c_M_reverse_17ac7 - 0.0033*Straw_Biomass_M + 0.0033*Straw_Biomass_M_reverse_753fb - 1.0*cys-L_pd + 1.0*cys-L_pd_reverse_00cb6
glu-L_c0,-1.0*AAATc_M + 1.0*AAATc_M_reverse_4c847 - 1.0*AATAc_M + 1.0*AATAc_M_reverse_4bae9 + 1.0*ALAATc_M - 1.0*ALAATc_M_reverse_2f903 - 1.0*ARGDc_M + 1.0*ARGDc_M_reverse_c2ad7 + 1.0*ASNS1c_M - 1.0*ASNS1c_M_reverse_7fff5 - 1.0*ASPGLU2m_M + 1.0*ASPGLU2m_M_reverse_7f061 + 1.0*ASPTAc_M - 1.0*ASPTAc_M_reverse_38c5c + 1.0*CTPSc_M - 1.0*CTPSc_M_reverse_60f33 - 0.1758*Coleoptile_Biomass_M + 0.1758*Coleoptile_Biomass_M_reverse_b2339 - 0.156*DM_Phloem_M + 0.156*DM_Phloem_M_reverse_02f43 - 1.0*FPGSc_M + 1.0*FPGSc_M_reverse_ebac6 - 1.0*GALc_M + 1.0*GALc_M_reverse_84515 + 1.0*GF6PTAc_M - 1.0*GF6PTAc_M_reverse_1374e + 1.0*GLU4ABUTtsi_M - 1.0*GLU4ABUTtsi_M_reverse_17654 - 1.0*GLU5Kc_M + 1.0*GLU5Kc_M_reverse_3dafc + 1.0*GLURc_M - 1.0*GLURc_M_reverse_441e9 - 1.0*GLUTLc_M + 1.0*GLUTLc_M_reverse_66f42 + 1.0*GLUtex_M - 1.0*GLUtex_M_reverse_37ebd - 1.0*GLUtx_M + 1.0*GLUtx_M_reverse_b0c7a + 1.0*GMPS2c_M - 1.0*GMPS2c_M_reverse_7f2d3 + 1.0*HCGALc_M - 1.0*HCGALc_M_reverse_92e4c - 1.0*IAAGLUSc_M + 1.0*IAAGLUSc_M_reverse_fa44b + 1.0*MALGLUts_M - 1.0*MALGLUts_M_reverse_742a5 - 1.0*MOTAc_M + 1.0*MOTAc_M_reverse_e2c67 + 1.0*NADS(gln-L)c_M - 1.0*NADS(gln-L)c_M_reverse_71eae + 1.0*OPAHirc_M - 1.0*OPAHirc_M_reverse_bad61 + 1.0*ORNTAc_M - 1.0*ORNTAc_M_reverse_ad81f + 1.0*PHETAc_M - 1.0*PHETAc_M_reverse_7d41e + 1.0*PYDXSc_M - 1.0*PYDXSc_M_reverse_186cc - 1.0*SACCDc_M + 1.0*SACCDc_M_reverse_a3f33 - 0.0385*Straw_Biomass_M + 0.0385*Straw_Biomass_M_reverse_753fb - 1.0*TCP32_M + 1.0*TCP32_M_reverse_56975 + 1.0*TRPTAc_M - 1.0*TRPTAc_M_reverse_e0a5a + 1.0*TYRTAc_M - 1.0*TYRTAc_M_reverse_fb7aa - 1.0*glu-L_pd + 1.0*glu-L_pd_reverse_b333a
gly_c0,-0.094*Coleoptile_Biomass_M + 0.094*Coleoptile_Biomass_M_reverse_b2339 - 1.0*GLYTLc_M + 1.0*GLYTLc_M_reverse_5a4a8 + 1.0*GLYtex_M - 1.0*GLYtex_M_reverse_e566d + 1.0*GLYtm_M - 1.0*GLYtm_M_reverse_097d2 - 1.0*GLYts_M + 1.0*GLYts_M_reverse_a6e14 - 1.0*GLYtv_M + 1.0*GLYtv_M_reverse_0aa27 - 1.0*GLYtx_M + 1.0*GLYtx_M_reverse_7e958 - 0.0282*Straw_Biomass_M + 0.0282*Straw_Biomass_M_reverse_753fb + 1.0*THRAc_M - 1.0*THRAc_M_reverse_17c3d - 1.0*gly_pd + 1.0*gly_pd_reverse_f8049
his-L_c0,-0.021*Coleoptile_Biomass_M + 0.021*Coleoptile_Biomass_M_reverse_b2339 - 0.00969*DM_Phloem_M + 0.00969*DM_Phloem_M_reverse_02f43 - 1.0*HISTLc_M + 1.0*HISTLc_M_reverse_bacfc + 1.0*HISt2m_M - 1.0*HISt2m_M_reverse_afa37 + 1.0*HIStex_M - 1.0*HIStex_M_reverse_31342 - 1.0*HISts_M + 1.0*HISts_M_reverse_8b2ef - 0.057*Straw_Biomass_M + 0.057*Straw_Biomass_M_reverse_753fb - 1.0*his-L_pd + 1.0*his-L_pd_reverse_095b4
ile-L_c0,-0.045*Coleoptile_Biomass_M + 0.045*Coleoptile_Biomass_M_reverse_b2339 - 0.0204*DM_Phloem_M + 0.0204*DM_Phloem_M_reverse_02f43 - 1.0*ILETLc_M + 1.0*ILETLc_M_reverse_bb0fa + 1.0*ILEt2m_M - 1.0*ILEt2m_M_reverse_396f4 + 1.0*ILEtex_M - 1.0*ILEtex_M_reverse_67ffe - 1.0*ILEts_M + 1.0*ILEts_M_reverse_6de7c - 1.0*JASILSc_M + 1.0*JASILSc_M_reverse_ea568 - 0.014*Straw_Biomass_M + 0.014*Straw_Biomass_M_reverse_753fb - 1.0*ile-L_pd + 1.0*ile-L_pd_reverse_df3da
leu-L_c0,-0.0901*Coleoptile_Biomass_M + 0.0901*Coleoptile_Biomass_M_reverse_b2339 - 0.0172*DM_Phloem_M + 0.0172*DM_Phloem_M_reverse_02f43 + 1.0*IAALEUHc_M - 1.0*IAALEUHc_M_reverse_4db60 - 1.0*IAALEUSc_M + 1.0*IAALEUSc_M_reverse_98d23 - 1.0*JASLSc_M + 1.0*JASLSc_M_reverse_a83cb - 1.0*LEUTLc_M + 1.0*LEUTLc_M_reverse_85ed9 + 1.0*LEUt2m_M - 1.0*LEUt2m_M_reverse_67217 + 1.0*LEUtex_M - 1.0*LEUtex_M_reverse_e46f3 - 1.0*LEUts_M + 1.0*LEUts_M_reverse_3b88d - 0.0234*Straw_Biomass_M + 0.0234*Straw_Biomass_M_reverse_753fb - 1.0*leu-L_pd + 1.0*leu-L_pd_reverse_b31f8
lys-L_c0,-0.0409*Coleoptile_Biomass_M + 0.0409*Coleoptile_Biomass_M_reverse_b2339 - 0.0516*DM_Phloem_M + 0.0516*DM_Phloem_M_reverse_02f43 - 1.0*LYSTLc_M + 1.0*LYSTLc_M_reverse_e725f + 1.0*LYSt2m_M - 1.0*LYSt2m_M_reverse_77fb0 + 1.0*LYStex_M - 1.0*LYStex_M_reverse_7b1b4 + 1.0*LYSts_M - 1.0*LYSts_M_reverse_ef61a + 1.0*SACCDyc_M - 1.0*SACCDyc_M_reverse_d0c54 - 0.0153*Straw_Biomass_M + 0.0153*Straw_Biomass_M_reverse_753fb - 1.0*lys-L_pd + 1.0*lys-L_pd_reverse_b1f56
