Coleoptile_Biomass
PRISM_blue_LED
PRISM_red_LED
PRISM_green_LED
GDHym
GDHm
AGATx
AGATs
ICDHc
GTHPs
GLCNGBc
GLCNGAc
ASPTAm
PDHam1m
PDHam2m
PDHe2m
PDHe3m
THR3DHx
FDHNc
SULOm
ASNS1c
GLYCORc
TYRTAs
ARGOAT1s
PGI2c
PGI2s
GAMPTc
FTHFLc
CALANc
FORAc
SHMTs
MLTHFRs
METSc
GAPDHys
GAPDH2s
MTHFDm
MTHFDc
FTHFCLc
MTHFDym
MTHFDys
GLYK2s
UREASEc
ATSc
SHSL1s
SPPAs
PFPc
PTOXs
PFKc
PFKs
AAs
CHLASEs
ALTNDAc
NADOR2u
AKGCITtm
AKGICITtm
MALICITtm
MALOAAtm
OAAAKGtm
OAACITtm
OAAICITtm
5FTHFtm
MLTHFtm
NA1Htm
PI:natm
5FTHFts
5MTHFts
G3P(pi)tsr
G6PA(pi)ts
G6PB(pi)ts
PEPPIts
PINA1ts
IPADNEts
TZTNts
FA140CoAr
FA160CoAr
FA161CoAr
FA180CoAr
FA181CoAr
FA183CoAr
