Reaction,Lower Bound,Upper Bound
Coleoptile_Biomass_M,-1e-07,1e-07
Straw_Biomass_M,-1e-07,1e-07
ACCOAC_OSAr_M,-1e-07,14.837273346966581
ACPC_OSs_M,-1e-07,1e-07
FAC_Osc_M,-1e-07,8.503010759103798
FAC_Osr_M,-1e-07,14.837273346966427
EX_co2(e),-29.0000001,-28.99999990000034
EX_h2o(e),-24.599609343454595,1e-07
EX_h(e),-73.18033964645079,-2.9659648010207746
EX_no3(e),-0.001508520713948232,1e-07
EX_o2(e),-243.8912347031642,1e-07
EX_pi(e),-14.078869652938963,1e-07
EX_sucr(e),-1e-07,1e-07
EX_fru-B(e),-1e-07,1e-07
EX_glc-A(e),-1e-07,1e-07
EX_so4(e),-1e-07,1e-07
EX_hco3(e),-1e-07,1e-07
EX_so3(e),-1e-07,1e-07
EX_h2s(e),-1e-07,1e-07
EX_nh4(e),-0.838812777884122,-0.8373041571700504
EX_asn-L(e),-1e-07,1e-07
EX_gln-L(e),-1e-07,1e-07
EX_etoh(e),-1e-07,1e-07
EX_ac(e),-1e-07,1e-07
EX_lac-L(e),-1e-07,1e-07
EX_tsul(e),-1e-07,1e-07
EX_fe2(e),-1e-07,1e-07
EX_fe3(e),-1e-07,1e-07
EX_mg2(e),-1e-07,1e-07
EX_ala-L(e),-1e-07,1e-07
EX_arg-L(e),-1e-07,1e-07
EX_asp-L(e),-1e-07,1e-07
EX_cys-L(e),-1e-07,1e-07
EX_glu-L(e),-1e-07,1e-07
EX_gly(e),-1e-07,1e-07
EX_his-L(e),-1e-07,1e-07
EX_ile-L(e),-1e-07,1e-07
EX_leu-L(e),-1e-07,1e-07
EX_lys-L(e),-1e-07,1e-07
EX_met-L(e),-1e-07,1e-07
EX_phe-L(e),-1e-07,1e-07
EX_pro-L(e),-1e-07,1e-07
EX_ser-L(e),-1e-07,1e-07
EX_thr-L(e),-1e-07,1e-07
EX_trp-L(e),-1e-07,1e-07
EX_tyr-L(e),-1e-07,1e-07
EX_val-L(e),-1e-07,1e-07
EX_photonVis(e),-1550.0000001,-1474.9999999
PRISM_blue_LED_M,-1e-07,1e-07
PRISM_red_LED_M,-1e-07,1e-07
PRISM_white_LED_M,1340.909090809091,1409.090909190909
PRISM_green_LED_M,-1e-07,1e-07
PRISM_solar_litho_M,-1e-07,1e-07
RPSI_410(u)_M,-1e-07,1e-07
RPSI_430(u)_M,-1e-07,3.837511236363636
RPSI_450(u)_M,-1e-07,191.53508673636364
RPSI_470(u)_M,-1e-07,267.68772669090913
RPSI_490(u)_M,-1e-07,71.0039656
RPSI_510(u)_M,-1e-07,207.9591586909091
RPSI_530(u)_M,-1e-07,186.06655850909092
RPSI_550(u)_M,-1e-07,44.24772328181819
RPSI_570(u)_M,-1e-07,6.470766185772728
RPSI_590(u)_M,-1e-07,0.8245719181818182
RPSI_610(u)_M,-1e-07,1.2369207148590908
RPSI_630(u)_M,-1e-07,19.86994328181818
RPSI_650(u)_M,-1e-07,197.4237171
RPSI_670(u)_M,-1e-07,206.27977455454544
RPSI_690(u)_M,-1e-07,4.591344899954545
RPSII_410(u)_M,-1e-07,1e-07
RPSII_430(u)_M,-1e-07,3.837511236363636
RPSII_450(u)_M,-1e-07,191.53508673636364
RPSII_470(u)_M,-1e-07,267.68772669090913
RPSII_490(u)_M,-1e-07,71.0039656
RPSII_510(u)_M,-1e-07,207.9591586909091
RPSII_530(u)_M,-1e-07,186.06655850909092
RPSII_550(u)_M,-1e-07,44.24772328181819
RPSII_570(u)_M,-1e-07,6.470766185772728
RPSII_590(u)_M,-1e-07,0.8245719181818182
RPSII_610(u)_M,-1e-07,1.2369207148590908
RPSII_630(u)_M,-1e-07,19.86994328181818
RPSII_650(u)_M,-1e-07,197.4237171
RPSII_670(u)_M,-1e-07,206.27977455454544
RPSII_690(u)_M,-1e-07,4.591344899954545
CO2tex_M,28.99999990000019,29.0000001
H2Otex_M,-243.89123470316628,1e-07
Htex_M,-45.89767511300877,76.51603572216123
NO3tex_M,-1e-07,1e-07
O2tex_M,-1e-07,243.89123470316548
Pitex_M,-33.503078366303455,56.90859835766426
SUCRtex_M,-1e-07,1e-07
FRUtex_M,-1e-07,1e-07
GLCtex_M,-1e-07,1e-07
SO4tex_M,-1e-07,1e-07
SO3tex_M,-1e-07,1e-07
HCO3tex_M,-1e-07,1e-07
H2Stex_M,-0.003016941427896464,0.003016941427870378
NH4tex_M,-1e-07,1e-07
ASNtex_M,-1e-07,1e-07
GLNtex_M,-1e-07,1e-07
ETOHtex_M,-1e-07,1e-07
ACtex_M,-1e-07,1e-07
LACtex_M,-1e-07,1e-07
TSULtex_M,-1e-07,1e-07
FE2tex_M,-1e-07,1e-07
FE3tex_M,-1e-07,1e-07
MG2tex_M,-1e-07,1e-07
ALAtex_M,-1e-07,1e-07
ARGtex_M,-1e-07,1e-07
ASPtex_M,-1e-07,1e-07
CYStex_M,-1e-07,1e-07
GLUtex_M,-1e-07,1e-07
GLYtex_M,-243.99020153243916,243.93945063425033
HIStex_M,-1e-07,1e-07
ILEtex_M,-1e-07,1e-07
LEUtex_M,-1e-07,1e-07
LYStex_M,-1e-07,1e-07
METtex_M,-1e-07,1e-07
PHEtex_M,-1e-07,1e-07
PROtex_M,-1e-07,1e-07
SERtex_M,-1e-07,1e-07
THRtex_M,-1e-07,1e-07
TRPtex_M,-1e-07,1e-07
TYRtex_M,-1e-07,1e-07
VALtex_M,-1e-07,1e-07
PPASc_M,-1e-07,33.941873438129186
PPASs_M,3.480108618372206,57.96018078028822
PPASm_M,-1e-07,1e-07
PPASx_M,-1e-07,12.905508517378243
PPAIcxc_M,-1e-07,27.39705075787436
PPAIcvc_M,-1e-07,33.04433500438777
APLs_M,-1e-07,0.028207100347514925
APLm_M,-1e-07,1e-07
CATv_M,-1e-07,25.98890887397647
CATs_M,-1e-07,39.19753453315622
CATx_M,-1e-07,12.1669536242865
CATm_M,-1e-07,26.089171006814006
GLUSfs_M,-1e-07,0.004525362141844696
RBPCs_M,23.796541538646558,55.09891369788438
RBPC2s_M,-1e-07,1e-07
CYOO6m_M,-1e-07,19.066695026178557
NO3Rm_M,-1e-07,0.001508520713948232
AOXm_M,-1e-07,24.598784211172276
ATPPHc_M,-1e-07,67.7244903914405
ATPPHm_M,-1e-07,63.52140898245223
ATPPHs_M,-1e-07,103.79294525487578
ATPSs_M,130.85675022027246,251.1622238174268
ATPSm_M,-1e-07,65.04349944770343
ATPSv_M,-1e-07,1e-07
GLUSs_M,-1e-07,37.52682949111884
GLUSys_M,-1e-07,56.266427442587386
GTHRc_M,-1e-07,64.31849787552811
GTHRs_M,-1e-07,71.18567552825856
GTHRm_M,-1e-07,19.595834368881654
ADK1c_M,-1e-07,65.92900276410022
ADK1m_M,-1e-07,1e-07
ADK1s_M,-1e-07,98.85872020920934
ATPAPc_M,-1e-07,33.862245245719485
ADPAc_M,-1e-07,65.88457209418183
GAL1PUTc_M,-1e-07,32.535251164339876
DPCOAKc_M,-1e-07,1e-07
URIKGc_M,-1e-07,64.14187593281912
URIKGs_M,-1e-07,98.72730922373086
DHDHc_M,-9.81051133805182,1e-07
BUPNc_M,-1e-07,9.810511335222339
DHPDc_M,-1e-07,9.810511335222339
CYTDc_M,-1e-07,10.505771144321082
GTPCYTDPTc_M,-61.188656011488995,64.1418759328192
GTPCYTDPTs_M,-94.77470427269088,98.1294535758449
DCTPDAc_M,-1e-07,6.8495637971924195
CTPRc_M,-1e-07,6.849563797192258
UTPRc_M,-1e-07,7.634101910921561
ATPRc_M,-1e-07,1e-07
GTPRc_M,-1e-07,1e-07
DCAHc_M,-1e-07,5.878417254987595
UPRTs_M,-47.949308244265374,9.81699478371363
UPRTc_M,-52.944632462303765,52.94463246230233
UPHc_M,-52.94463246230333,52.94463246229888
UPHs_M,-9.816994786515004,47.94930824426546
DURIKc_M,-1e-07,65.88457209418942
TMDKc_M,-1e-07,65.88457209418864
ATCYc_M,-1e-07,65.88457209418554
ATCYs_M,-1e-07,102.93687795540366
AUPTc_M,-1e-07,65.88457209418894
AUPTs_M,-1e-07,102.95136597621516
DGSNHc_M,-1e-07,1e-07
TPHc_M,-1e-07,65.88457209418857
DUMPc_M,-1e-07,66.50736771775561
DCMPc_M,-1e-07,5.878417254992741
CMPc_M,-1e-07,65.88457209418887
CMPs_M,-1e-07,102.32842407342983
UMPc_M,-1e-07,65.88457209418877
UMPs_M,-1e-07,102.32842407343031
CTPSc_M,-1e-07,10.645987169022481
DUTNHc_M,-1e-07,33.074307206440174
DCDTc_M,-1e-07,5.878417254992921
DUDTc_M,-1e-07,9.81051133522985
TDSRs_M,-1e-07,46.00969189084801
TDSRc_M,-1e-07,9.810511338042883
ATDUDc_M,-1e-07,33.00857173140515
DUMPKc_M,-9.810511338044295,32.91637218453161
ATDCDc_M,-1e-07,5.1709125243445
DCMPKc_M,-5.8784172549873155,1e-07
ATCDc_M,-1e-07,14.025076159305772
ATCDs_M,-1e-07,14.025076159305534
CMPKc_M,-1e-07,14.025076159305534
CMPKs_M,-1e-07,1e-07
ATUDc_M,-1e-07,33.06564878515044
ATUDs_M,-1e-07,32.62288335740934
UMPKc_M,-1e-07,11.58560313225916
MATc_M,-1e-07,21.994488481712956
AMPDc_M,-1e-07,52.94463246230675
AMPPc_M,-1e-07,65.8845720941895
ADNKc_M,-1e-07,65.88457209418873
APPRTc_M,-52.944632462304384,52.94463246230284
APPRTs_M,-1e-07,1e-07
ADSHc_M,-1e-07,21.994488481713013
PEPSs_M,-1e-07,98.12961170179754
PYKc_M,-1e-07,51.96537737173177
PYKs_M,-1e-07,98.34564774166793
PPDKs_M,-1e-07,0.3100001
PPDKc_M,-1e-07,0.3100001
MDH2c_M,-1e-07,8.776452895178958
MDH2s_M,-1e-07,8.545947219072113
PDCm_M,-1e-07,1e-07
PDCs_M,-1e-07,9.546069883304632
ACSc_M,-1e-07,12.204157611204488
ACSx_M,-1e-07,12.905508517378292
ACSs_M,-1e-07,14.449546218470923
GLU5Kc_M,-1e-07,8.290337182270731
GLU5Ks_M,-1e-07,98.12945357584468
GDHym_M,-1e-07,1e-07
GDHm_M,-1e-07,1e-07
PYR5CDm_M,-1e-07,7.61920394854607
PYR5CDs_M,-1e-07,60.795501959756294
PYR5CDym_M,-1e-07,7.52717792780389
PYR5CDys_M,-1e-07,98.1294535758447
GALc_M,-1e-07,21.980040852356275
GALs_M,-1e-07,56.32786662889543
AGATm_M,-32.308642015802356,17.08665505243788
AGATx_M,-1e-07,1e-07
AGATs_M,-1e-07,1e-07
ALAATc_M,-127.38740673957635,119.44048078195003
ALAATm_M,-0.003016941427896464,1e-07
ALAATs_M,-1e-07,1e-07
AAATc_M,-1e-07,7.614771413318749
ARGDs_M,-1e-07,4.541087238271226
ARGDc_M,-1e-07,4.599215087800109
ARGDm_M,-1e-07,4.65602585235712
ASPCLc_M,-9.810511338044392,1e-07
ICDHc_M,-1e-07,1e-07
ICDHm_M,-81.50082126730754,4.8555794862343005
GTHPs_M,-1e-07,1e-07
GTHPc_M,-1e-07,37.57587856343017
GTHPm_M,-1e-07,19.595834368881256
UPGCDc_M,-1e-07,6.175123883747644
GALKc_M,-37.734494793317396,40.97682397400382
UGLTc_M,-46.351508552398606,40.97682397400382
THAc_M,-1e-07,21.0770445148734
THPc_M,-1e-07,21.108871906616113
TPSc_M,-1e-07,21.098513903019555
GLCNSc_M,-1e-07,1e-07
GLCNGBc_M,-1e-07,1e-07
GLCNGBv_M,-1e-07,22.744699160483812
GLCNGAc_M,-1e-07,1e-07
GLCNGAv_M,-22.744699160484775,1e-07
GALUic_M,-1e-07,32.11485796868268
MTGHc_M,-1e-07,10.639394499766693
MGHAc_M,-1e-07,10.637124504371563
MGHBc_M,-1e-07,10.550177620027911
SFHc_M,-1e-07,10.636932282864974
RGHc_M,-1e-07,31.687009673680098
SYGHc_M,-1e-07,31.6870096736791
GRGTc_M,-1e-07,31.687009673679007
RAFFINSc_M,-1e-07,31.6944095600971
IAGTc_M,-1e-07,31.698674975993413
UDPG4Ec_M,-182.918426052374,182.91842605237687
ATGDc_M,-1e-07,64.14187593281882
ATGDs_M,-1e-07,98.73183448587183
GTPDPKs_M,-1e-07,34.10947475781053
GBDPs_M,-1e-07,34.10947475781053
GDTPs_M,-1e-07,34.10947475781053
ATDADc_M,-1e-07,1e-07
ATDGDc_M,-1e-07,1e-07
PPCKc_M,-1e-07,8.39732371034766
MDHys_M,-23.90036755183593,26.082185493594764
MDHs_M,-33.65817966433769,1e-07
MDHc_M,-33.55751962347111,1e-07
MDHx_M,-6.281728543007155,12.153472938777162
MDHm_M,-1e-07,11.180000099999999
PPCc_M,-1e-07,1e-07
ATPCSc_M,-1e-07,27.781060999472388
CSx_M,-1e-07,12.800122404633086
CSm_M,-1e-07,11.180000099999999
OXAACc_M,-1e-07,7.29391592659223
OXAODc_M,-1e-07,7.269848271947972
ASPO1s_M,-1e-07,1e-07
NNDPRs_M,-1e-07,1e-07
NNATc_M,-1e-07,1e-07
NADS(nh4)c_M,-1e-07,1e-07
NADS(gln-L)c_M,-1e-07,1e-07
QULNSs_M,-1e-07,1e-07
NAMNPPc_M,-1e-07,1e-07
NNAMc_M,-1e-07,1e-07
NMNDAc_M,-1e-07,1e-07
NMNNc_M,-1e-07,1e-07
NMNATc_M,-1e-07,1e-07
N2PHs_M,-1e-07,1e-07
N2PHc_M,-1e-07,1e-07
NADKc_M,-1e-07,1e-07
NADKs_M,-1e-07,1e-07
NADKm_M,-1e-07,1e-07
NADHKc_M,-1e-07,1e-07
NADHKs_M,-1e-07,1e-07
NADHKm_M,-1e-07,1e-07
ASPTAc_M,-24.132932780879024,18.573511555012708
ASPTAm_M,-1e-07,1e-07
ASPTAs_M,-0.004525362141846891,27.39403272952128
GLYTAx_M,-1e-07,27.73117493670473
SUCL(ADP)m_M,-1e-07,1e-07
LYSDCs_M,-1e-07,9.99984667611863e-08
AASADc_M,-1e-07,1e-07
SACCDyc_M,-1e-07,1e-07
SACCDc_M,-1e-07,1e-07
AATAc_M,-1e-07,1e-07
PDHam1m_M,-1e-07,1e-07
PDHam2m_M,-1e-07,1e-07
PDHe2m_M,-1e-07,1e-07
PDHe3m_M,-1e-07,1e-07
PDHam1s_M,-1e-07,11.335306741212817
PDHam2s_M,-1e-07,11.2986349169508
PDHe2s_M,-1e-07,11.2986349169508
PDHe3s_M,-1e-07,11.2986349169508
AKGDHam1m_M,-1e-07,1e-07
AKGDHam2m_M,-1e-07,1e-07
AKGDHe2m_M,-1e-07,1e-07
OXADH1m_M,-1e-07,1e-07
OXADH2m_M,-1e-07,1e-07
DAPDCs_M,-1e-07,0.024097471157728624
MALSs_M,-1e-07,1e-07
MALSx_M,-1e-07,12.800122404633099
GOXx_M,-1e-07,24.333907148573097
ICLx_M,-1e-07,7.080838726692076
AMOx_M,-1e-07,1e-07
