"","sample","dim(resmatrix)[1]","dim(Nfails)[1]","dim(Ifails)[1]","gw$list_fails","gw$percent_converged"
"1","wt_250",3792,2,2,1094,70.543887991384
"2","wt_750",3736,1,0,995,73.0425358981306
"3","wt_1500",3879,2545,881,2384,37.4606505771249
"4","tr_250",3775,2,2,1184,68.0690399137001
"5","tr_750",3771,2,0,1256,66.017316017316
"6","tr_1500",3878,2626,854,2292,40.1253918495298
