,sample,dim(resmatrix)[1],dim(Nfails)[1],dim(Ifails)[1],gw$list_fails,gw$percent_converged
1,wt_250,2028,32,7,242,80.1313628899836
2,wt_750,2774,20,12,285,83.3235810415448
3,wt_1500,2779,33,9,570,68.9711486118672
4,tr_250,1239,23,2,174,84.9611063094209
5,tr_750,1182,39,8,310,72.1473495058401
6,tr_1500,1306,59,5,298,76.9171185127808
