"","sample","length(resmatrix)","length(Nfails)","length(Ifails)","gw$list_fails","gw$percent_converged"
"1","wt_250",2796,4,4,221,68.3834048640916
"2","wt_750",2752,4,4,210,69.4767441860465
"3","wt_1500",7396,4,4,1145,38.0746349378042
"4","tr_250",2772,4,4,221,68.1096681096681
"5","tr_750",2772,4,4,184,73.4487734487735
"6","tr_1500",7424,4,4,1186,36.0991379310345
