"","sample","length(resmatrix)","length(Nfails)","length(Ifails)","gw$list_fails","gw$percent_converged"
"1","wt_250",2796,4,4,220,68.5264663805436
"2","wt_750",2752,4,4,207,69.9127906976744
"3","wt_1500",7388,4,4,1113,39.7401191120736
"4","tr_250",2772,4,4,206,70.2741702741703
"5","tr_750",2772,4,4,244,64.7907647907648
"6","tr_1500",7412,4,4,1029,44.4684295736643
