,sample,resmatrix size,Nfails,I_fails,Geweke_fails,percent converged (geweke)
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
14,wt_250,1214,32,6,220,81.8780889621087
15,wt_750,1228,41,5,194,84.2019543973941
16,wt_1500,1144,40,3,191,83.3041958041958
17,tr_250,1157,23,2,149,87.1218668971478
18,tr_750,1113,39,8,294,73.5849056603774
19,tr_1500,1289,59,5,278,78.432893716059
