"","sample","resmatrix size","Nfails","I_fails","Geweke_fails","percent converged (geweke)"
"1","wt_250",699,1,0,220,68.5264663805436
"2","wt_750",688,0,0,207,69.9127906976744
"3","wt_1500",1849,249,30,1115,39.697133585722
"4","tr_250",693,1,0,206,70.2741702741703
"5","tr_750",693,0,0,244,64.7907647907648
"6","tr_1500",1856,255,48,1032,44.3965517241379
