"","sample","resmatrix size","Nfails","I_fails","Geweke_fails","percent converged (geweke)"
"1","wt_250",1214,32,6,994,18.1219110378913
"2","wt_750",1705,20,12,1434,15.8944281524927
"3","wt_1500",1782,33,9,1287,27.7777777777778
"4","tr_250",1157,23,2,1008,12.8781331028522
"5","tr_750",1113,39,8,819,26.4150943396226
"6","tr_1500",1289,59,5,1011,21.567106283941
