"","sample","dim(resmatrix)[1]","dim(Nfails)[1]","dim(Ifails)[1]","gw$list_fails","gw$percent_converged"
"1","wt_250",3786,0,2,860,76.9189479334407
"2","wt_750",3760,1,0,1134,69.1596410116943
"3","wt_1500",3898,504,51,2516,34.187810619932
"4","tr_250",3754,0,1,969,73.9095315024233
"5","tr_750",3770,0,0,942,74.5405405405405
"6","tr_1500",3890,518,43,2159,43.5850535667625
