"","sample","resmatrix size","Nfails","I_fails","Geweke_fails","percent converged (geweke)"
"1","wt_250",697,0,2,151,78.3357245337159
"2","wt_750",686,1,0,253,63.1195335276968
"3","wt_1500",1847,353,0,1211,34.4342176502436
"4","tr_250",691,0,1,235,65.9913169319826
"5","tr_750",691,0,0,160,76.8451519536903
"6","tr_1500",1855,401,2,1158,37.5741239892183
