Reaction,Lower Bound,Upper Bound
EX_co2(e),-21.29518467034945,-19.40649768086281
EX_h2o(e),-132.8633986347808,0.0
EX_h(e),-39.6332358865271,0.0
EX_no3(e),-0.3989203713724706,0.0
EX_o2(e),-128.51320148922903,0.0
EX_pi(e),-4.666345721300966,0.0
EX_so4(e),-0.0840920208727793,0.0
EX_so3(e),-0.0836619804270005,0.0
EX_h2s(e),-0.0848120438092663,0.0
EX_nh4(e),-3.4739538423188656,-0.5603152801705713
EX_mg2(e),-0.0408667223769023,0.0
EX_photonVis(e),-775.0,-725.0
PRISM_white_LED_M,659.090909090909,704.5454545454545
RPSI_430(u)_M,1.7786359902858653,1.918755568181818
RPSI_450(u)_M,0.0,95.76754331818182
RPSI_470(u)_M,0.0,133.84386329545455
RPSI_490(u)_M,0.0,35.50198275
RPSI_510(u)_M,0.0,103.97957929545456
RPSI_530(u)_M,0.0,93.03327920454548
RPSI_570(u)_M,3.010384216219051,3.235383042886364
RPSI_590(u)_M,0.3674426395366772,0.4122859090909091
RPSI_610(u)_M,0.0,0.5622534820720456
RPSI_630(u)_M,9.278117989118131,9.93497159090909
RPSI_650(u)_M,0.0,98.7118585
RPSI_670(u)_M,0.0,103.13988722727272
RPSI_690(u)_M,0.0,2.2956723999772723
RPSII_430(u)_M,0.0,1.918755568181818
RPSII_450(u)_M,0.0,95.76754331818182
RPSII_470(u)_M,0.0,133.84386329545455
RPSII_490(u)_M,0.0,35.50198275
RPSII_510(u)_M,0.0,103.97957929545456
RPSII_530(u)_M,87.0147872565515,93.03327920454548
RPSII_550(u)_M,20.68020589707861,22.12386159090909
RPSII_590(u)_M,0.0,0.3674579245138384
RPSII_630(u)_M,0.0,9.93497159090909
RPSII_650(u)_M,0.0,98.7118585
RPSII_670(u)_M,0.0,103.13988722727272
RPSII_690(u)_M,0.0,2.2956723999772723
CO2tex_M,19.40649768086256,21.295184670349443
Htex_M,-14.164306744733995,43.66378291025069
O2tex_M,0.0,128.5132014892288
Pitex_M,-9.496203149493873,28.83913309917223
H2Stex_M,0.0,0.6963157977894435
MG2tex_M,0.0,0.0408664193831222
PPASs_M,2.3288524749048225,11.663601887156496
PPASx_M,0.0,3.670554321436675
PPAIcxc_M,0.0,9.285989044322012
APLs_M,0.0,0.103686994384297
CATs_M,0.0,19.887602673484945
CATx_M,0.0,4.713894262547225
CATm_M,0.0,5.078145333417886
GLUSfs_M,0.0,0.9356632093673924
RBPCs_M,18.684526849196708,27.733181345449864
CYOO6m_M,0.0,9.63723977207511
AOXm_M,0.0,17.89529803633041
ATPSs_M,88.79298876661828,116.04790117244964
ATPSm_M,0.0,23.58954062986547
GLUSys_M,0.0,10.986198713986823
GTHRc_M,0.0,10.832846812170072
ADK1c_M,0.0,7.856328740121159
ADK1s_M,0.0,9.756073592601792
DPCOAKc_M,0.0,0.0844204586869886
UPRTs_M,0.0,2.7363789693680034
UPHs_M,-2.736378969367963,0.0
AUPTs_M,0.0,2.7167376391346454
DUTNHc_M,0.0,9.743625831097257
ATDUDc_M,0.0,9.778798574179124
DUMPKc_M,-2.7179604437472733,9.71413438629859
ATCDc_M,0.0,4.631290833541926
ATCDs_M,0.0,3.701300351970128
CMPKc_M,0.0,4.631290833542185
CMPKs_M,0.0,0.2412535767164875
ATUDc_M,0.0,9.900162778276378
ATUDs_M,0.0,5.435400236036124
APPRTs_M,-0.5825786608698619,0.0
PYKc_M,0.0,5.163501337730955
PYKs_M,0.0,5.887433087580087
PPDKc_M,0.0,0.31
MDH2c_M,0.0,1.5253783836248034
ACSc_M,0.0,5.0827402325582
ACSx_M,0.0,3.670554321436952
ACSs_M,0.0,5.168696369794741
GLU5Kc_M,0.0,1.7034692074848086
GLU5Ks_M,0.0,13.424736298931832
GALs_M,0.0161257095685841,11.200273181626445
AGATm_M,-4.127316252493023,6.041529538239022
ALAATc_M,-13.027729022651982,0.0
ALAATm_M,-0.6219732712166653,0.4700626130845063
AAATc_M,0.0,0.6039495306616636
ASPCLc_M,-2.7179604437471023,0.0841646243202262
ICDHm_M,0.0,0.4281868284396464
GTHPc_M,0.0,7.727399731432138
GALKc_M,-7.54918841768767,17.354222500084287
UGLTc_M,-7.5153735856506305,16.839290359974317
GALUic_M,0.0,9.735978093045176
IAGTc_M,0.0,5.549820003457292
ATGDs_M,0.0,4.587595112021502
PPCKc_M,0.0,2.2253856638660103
MDHys_M,-10.877427311100629,0.0
MDHm_M,0.299544430649004,11.18
ATPCSc_M,0.0,12.812533031740012
CSx_M,0.0,5.1887459725475065
CSm_M,-5.440555033758818,11.18
OXAACc_M,0.0,1.5510855963910315
OXAODc_M,0.0,1.528449743511122
ASPTAc_M,-12.947866077199638,1.1915612031415206
ASPTAs_M,-1.1680799153427677,0.0
GLYTAx_M,0.0,4.60450671758729
LYSDCs_M,0.0,0.2821742918923798
PDHam1s_M,0.0,2.5393394985146083
PDHam2s_M,0.0,1.9926441124204863
PDHe2s_M,0.0,2.631760080365453
